frame,hip_x,hip_y,hip_z,hip_parent,
0,3.4775,100.33,11.3426,0,
1,3.4583,99.7777,11.2802,0,
2,3.455,99.6821,11.2694,0,
3,6.1443,97.672,10.1214,0,
4,13.0139,91.8099,7.4081,0,
5,19.1755,85.6516,5.2206,0,
6,22.2095,82.3929,4.8292,0,
7,23.7878,80.3093,5.5074,0,
8,24.8491,77.5532,6.1104,0,
9,25.9201,74.9144,6.3054,0,
10,26.1631,72.822,6.4423,0,
11,24.7788,70.0666,6.7207,0,
12,23.5312,66.7231,7.9647,0,
13,24.2387,63.719,10.573,0,
14,25.0147,61.1279,12.6029,0,
15,24.5843,58.8347,13.3682,0,
16,24.2771,56.7027,13.9918,0,
17,24.7832,54.4517,14.3131,0,
18,25.4437,52.2611,14.0935,0,
19,25.4781,50.307,13.9307,0,
20,25.5796,48.3034,14.1645,0,
21,26.0288,46.5933,14.4247,0,
22,26.518,45.1547,14.2762,0,
23,27.351,43.3409,13.988,0,
24,27.6427,41.8396,14.0087,0,
25,26.8843,41.2173,14.142,0,
26,26.1331,40.6334,13.8763,0,
27,26.0544,39.7348,12.9399,0,
28,26.4595,38.7207,11.5407,0,
29,26.5771,38.0015,10.317,0,
30,25.9148,38.8359,9.7707,0,
31,25.0355,41.2821,9.7744,0,
32,22.4157,45.344,9.3249,0,
33,16.0851,51.8408,7.8409,0,
34,10.9846,57.5618,6.9767,0,
35,10.8459,59.6234,7.5532,0,
36,12.0573,60.6327,7.7746,0,
37,12.4185,62.6642,7.1728,0,
38,13.0663,64.8204,6.6693,0,
39,14.0333,66.448,5.846,0,
40,14.5579,67.3993,4.4537,0,
41,15.6915,67.2181,3.0631,0,
42,17.187,66.7985,1.9787,0,
43,17.5022,67.311,1.5776,0,
44,17.2842,68.0624,1.7323,0,
45,17.2913,67.7633,1.7148,0,
46,17.6483,66.6199,1.5948,0,
47,18.2494,65.8009,1.521,0,
48,18.6011,65.8514,0.9178,0,
49,19.0632,66.2608,0.1288,0,
50,19.6169,66.037,-0.2454,0,
51,19.8513,65.5059,-0.4091,0,
52,19.9328,65.4855,-0.4357,0,
53,19.9068,65.5803,-0.3582,0,
54,19.8378,65.4038,-0.3273,0,
55,19.8367,65.319,-0.3616,0,
56,19.9078,65.3789,-0.4115,0,
57,19.9736,65.3463,-0.4406,0,
