frame,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,
0,-26.7691,-59.6769,21.1011,65.032,70.3196,-3.5263,3.1429,3.6074,70.3196,-38.8557,74.4595,-23.9131,70.1348,89.9571,-6.1183,-3.6437,-3.3319,89.9571,
1,-26.6218,-59.3483,20.9849,64.6189,69.8986,-3.5068,3.1256,3.5876,69.8986,-38.6418,74.0495,-23.7814,69.6335,89.4128,-6.0846,-3.6237,-3.3135,89.4128,
2,-26.5963,-59.2915,20.9648,64.5474,69.8258,-3.5035,3.1226,3.5841,69.8258,-38.6048,73.9786,-23.7586,69.5467,89.3186,-6.0788,-3.6202,-3.3104,89.3186,
3,-27.7972,-58.6842,21.484,62.4616,69.9965,-3.5979,3.1249,3.6023,69.9965,-41.0802,76.4766,-26.2245,65.8675,94.193,-6.0887,-3.6299,-3.3158,94.193,
4,-30.7494,-56.6169,22.2336,57.5085,69.5859,-4.5559,3.1271,3.6349,69.5859,-45.9342,83.0848,-32.8184,55.6138,106.71,-6.1079,-3.651,-3.3245,106.71,
5,-33.5992,-54.1486,23.089,54.8169,68.8616,-6.6488,3.1279,3.6455,68.8616,-49.2094,89.1798,-38.9221,46.3873,117.768,-6.1249,-3.6691,-3.3285,117.768,
6,-35.1012,-52.3771,23.6617,54.6342,68.1458,-8.3622,3.1278,3.5971,68.1458,-50.9426,91.6536,-41.3926,43.2465,122.412,-6.1285,-3.6781,-3.3224,122.412,
7,-35.7212,-49.8815,21.5274,53.9718,64.4627,-8.7836,3.1276,3.5059,64.4627,-51.293,91.9028,-41.6322,43.8351,122.968,-6.1145,-3.6856,-3.3089,122.968,
8,-36.0975,-44.4862,16.2197,54.1188,55.5424,-8.9063,3.1275,3.4104,55.5424,-49.2494,90.3419,-40.0732,46.1327,119.537,-6.6796,-3.7254,-3.3151,119.537,
9,-36.3877,-37.7151,10.1814,54.0924,44.6038,-9.2235,3.1275,3.3282,44.6038,-45.296,87.8258,-37.215,48.7149,113.492,-7.622,-3.7918,-3.3439,113.492,
10,-33.9798,-31.8568,4.4366,52.8065,34.4036,-8.9889,2.9212,3.6188,34.4036,-39.0828,82.6351,-31.4625,49.7548,102.343,-7.4298,-3.6283,-3.4726,102.343,
11,-31.1519,-26.0113,-1.6103,53.0048,24.4894,-8.4204,2.4284,4.4925,24.4894,-30.8676,73.383,-22.1845,48.8783,85.0203,-6.3978,-3.1238,-3.8083,85.0203,
