frame,lShin_x,lShin_y,lShin_z,lShin_parent,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,rShin_x,rShin_y,rShin_z,rShin_parent,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,
0,51.563,-1.8659,3.6882,74.9399,-20.8741,9.4965,12.4223,111.594,74.9399,35.297,1.49,-3.5091,66.1031,-11.8548,2.0993,-13.1853,111.594,66.1031,
1,51.2791,-1.8557,3.6679,74.8173,-20.7592,9.4442,12.3539,111.594,74.8173,35.1026,1.4818,-3.4898,66.0279,-11.7896,2.0878,-13.1127,111.594,66.0279,
2,51.2299,-1.8539,3.6644,74.7961,-20.7393,9.4352,12.342,111.594,74.7961,35.069,1.4804,-3.4864,66.0149,-11.7783,2.0858,-13.1001,111.594,66.0149,
3,50.2923,-1.5674,3.05,80.7757,-26.8176,10.5769,11.985,111.594,80.7757,33.1539,1.2516,-1.88,65.2822,-11.1867,0.8205,-12.0369,111.594,65.2822,
4,45.2159,-0.8143,1.5168,93.9662,-40.2117,12.6171,11.0342,111.594,93.9662,29.1718,0.6502,0.9869,63.395,-9.556,-5.0042,-9.8239,111.594,63.395,
5,38.5839,-0.1282,0.6485,103.825,-50.2076,13.1693,10.1642,111.594,103.825,24.4966,0.1024,0.864,60.5099,-6.9508,-11.0731,-6.9908,111.594,60.5099,
6,37.6813,0.1162,0.8683,108.219,-54.6475,12.136,9.8532,111.594,108.219,18.8761,-0.0928,-1.247,57.7329,-4.4041,-11.3974,-3.5092,111.594,57.7329,
7,39.5698,0.1029,1.4879,109.38,-55.813,11.3347,9.8695,111.594,109.38,15.1452,-0.0822,-1.479,56.9648,-3.7024,-12.053,-1.711,111.594,56.9648,
8,38.9878,0.0359,2.3284,107.951,-54.374,11.7822,9.9022,111.594,107.951,12.1907,-0.0287,-0.6179,57.5326,-4.2974,-15.2501,-1.081,111.594,57.5326,
9,38.8296,-0.0025,2.4134,107.38,-53.8056,12.6627,9.8461,111.594,107.38,7.6594,0.002,0.5144,58.2178,-5.0002,-16.5554,0.8302,111.594,58.2178,
10,40.5538,-0.0102,1.4312,107.19,-53.6214,13.4835,9.7709,111.594,107.19,5.1436,0.0081,1.5396,58.84,-5.6016,-16.7767,2.2817,111.594,58.84,
11,41.9431,-0.0057,-0.0132,105.033,-51.4554,13.6919,9.7218,111.594,105.033,4.9799,0.0046,1.4719,58.2969,-5.0662,-16.7193,1.9087,111.594,58.2969,
12,42.4388,-0.0011,-0.441,101.756,-48.1694,13.2466,9.5717,111.594,101.756,4.2089,0.0009,0.4808,56.3287,-3.1039,-15.0623,0.6183,111.594,56.3287,
13,44.1211,0.0007,1.5645,100.691,-47.114,12.6312,9.3371,111.594,100.691,2.803,-0.0006,-1.9455,55.0862,-1.838,-12.7248,-1.1553,111.594,55.0862,
14,48.2471,0.0007,5.3653,102.59,-49.0137,9.9864,9.407,111.594,102.59,2.2006,-0.0006,-4.2147,55.2171,-1.9024,-11.7304,-3.1647,111.594,55.2171,
15,50.5954,0.0003,8.722,103.516,-49.9182,6.0064,9.7484,111.594,103.516,1.6837,-0.0002,-3.9818,54.7648,-1.3541,-12.2629,-4.9005,111.594,54.7648,
16,49.2146,0,10.1871,102.566,-48.947,3.7266,9.9865,111.594,102.566,1.2189,0,-3.3091,54.0601,-0.5417,-12.6547,-6.2865,111.594,54.0601,
17,48.2112,0,10.356,103.363,-49.7461,2.2683,10.0521,111.594,103.363,1.3745,0,-2.9133,54.6042,-0.9735,-12.5252,-7.4999,111.594,54.6042,
18,47.4573,0,10.1758,104.636,-51.0555,-0.7617,9.7057,111.594,104.636,1.1857,0,-1.8696,55.3588,-1.6365,-12.7088,-8.3967,111.594,55.3588,
19,44.6284,0,10.0235,103.921,-50.3952,-4.0284,8.9245,111.594,103.921,0.66,0,-2.3391,55.7995,-2.0064,-12.3037,-9.0229,111.594,55.7995,
20,41.6762,0,9.9723,103.852,-50.3924,-5.0271,7.8182,111.594,103.852,0.4357,0,-4.9022,56.914,-3.0548,-10.9584,-9.6109,111.594,56.914,
21,39.9169,0,9.9772,104.727,-51.3609,-4.3709,5.7653,111.594,104.727,0.8554,0,-6.6453,57.7932,-3.8915,-10.208,-9.9936,111.594,57.7932,
22,38.4838,0,9.9882,104.165,-50.85,-4.298,4.1633,111.594,104.165,1.362,0,-7.0247,57.6368,-3.7208,-9.5863,-10.0896,111.594,57.6368,
23,38.0163,0,9.9296,102.163,-48.8202,-4.9731,5.0455,111.594,102.163,1.0828,0,-7.2973,57.2921,-3.3847,-8.5485,-9.9968,111.594,57.2921,
24,39.4872,0,9.833,99.7066,-46.2749,-5.8943,7.065,111.594,99.7066,0.6119,0,-6.9381,57.2131,-3.3234,-8.7944,-9.8548,111.594,57.2131,
25,41.3127,0,9.3872,97.4106,-43.9155,-6.743,8.1223,111.594,97.4106,0.6632,0,-6.4587,57.3916,-3.5048,-9.7502,-9.8484,111.594,57.3916,
26,41.9521,0,7.7894,96.4515,-42.9968,-5.6133,7.2945,111.594,96.4515,0.9871,0,-6.6779,57.5537,-3.6567,-9.8138,-9.9394,111.594,57.5537,
27,42.7099,0,5.8792,97.9108,-44.549,-2.9027,5.2286,111.594,97.9108,1.0946,0,-7.0168,57.4699,-3.5671,-9.2434,-9.9753,111.594,57.4699,
28,44.2835,0,4.743,100.219,-46.8911,-0.9731,4.2453,111.594,100.219,0.902,0,-7.0308,57.3303,-3.432,-8.9378,-9.9302,111.594,57.3303,
29,44.8517,0,3.1079,100.531,-47.1776,-0.2307,5.0043,111.594,100.531,0.7499,0,-6.7877,57.3323,-3.4401,-9.2299,-9.8837,111.594,57.3323,
30,43.5588,0,1.1941,99.6057,-46.2428,0.2868,5.1971,111.594,99.6057,0.8269,0,-6.6797,57.432,-3.539,-9.5639,-9.8985,111.594,57.432,
