frame,hip_x,hip_y,hip_z,hip_parent,hip_abdomen,hip_lButtock,hip_rButtock,abdomen_x,abdomen_y,abdomen_z,abdomen_parent,abdomen_chest,chest_x,chest_y,chest_z,chest_parent,chest_lCollar,chest_neck,chest_rCollar,neck_x,neck_y,neck_z,neck_parent,neck_neck1,neck1_x,neck1_y,neck1_z,neck1_parent,neck1_head,head_x,head_y,head_z,head_parent,rCollar_x,rCollar_y,rCollar_z,rCollar_parent,rCollar_rShldr,rShldr_x,rShldr_y,rShldr_z,rShldr_parent,rShldr_rForeArm,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,lCollar_x,lCollar_y,lCollar_z,lCollar_parent,lCollar_lShldr,lShldr_x,lShldr_y,lShldr_z,lShldr_parent,lShldr_lForeArm,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rButtock_x,rButtock_y,rButtock_z,rButtock_parent,rButtock_rThigh,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,rShin_x,rShin_y,rShin_z,rShin_parent,rShin_rFoot,rFoot_x,rFoot_y,rFoot_z,rFoot_parent,lButtock_x,lButtock_y,lButtock_z,lButtock_parent,lButtock_lThigh,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,lShin_x,lShin_y,lShin_z,lShin_parent,lShin_lFoot,lFoot_x,lFoot_y,lFoot_z,lFoot_parent,
0,3.4775,100.33,11.3426,0,102.608,44.291,166.007,0,0,0,102.608,0.361536,0,0,0,0.361536,14.0707,3.26231,14.0707,5.996,-0.565,-2.0321,3.26231,28.0619,0,0,0,28.0619,0,-11.2625,0.6117,9.2339,0,0,0,0,14.0707,96.6539,48.4861,72.3468,15.356,96.6539,70.1348,-38.8557,74.4595,-23.9131,70.1348,89.9571,-6.1183,-3.6437,-3.3319,89.9571,0,0,0,14.0707,96.6539,17.1206,-7.5572,-72.4045,96.6539,65.032,-26.7691,-59.6769,21.1011,65.032,70.3196,-3.5263,3.1429,3.6074,70.3196,0,0,0,166.007,111.594,-11.8548,2.0993,-13.1853,111.594,66.1031,35.297,1.49,-3.5091,66.1031,42.988,-15.8642,-12.7211,-4.595,42.988,0,0,0,44.291,111.594,-20.8741,9.4965,12.4223,111.594,74.9399,51.563,-1.8659,3.6882,74.9399,59.2261,-10.1504,3.7419,3.1124,59.2261,
1,3.4583,99.7777,11.2802,0,102.642,44.5856,165.865,0,0,0,102.642,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,5.963,-0.5619,-2.0209,3.26219,28.0284,0,0,0,28.0284,0,-11.2005,0.6084,9.1831,0,0,0,0,14.0707,96.6539,48.2191,71.9485,15.2715,96.6539,69.6335,-38.6418,74.0495,-23.7814,69.6335,89.4128,-6.0846,-3.6237,-3.3135,89.4128,0,0,0,14.0707,96.6539,17.0263,-7.5156,-72.0059,96.6539,64.6189,-26.6218,-59.3483,20.9849,64.6189,69.8986,-3.5068,3.1256,3.5876,69.8986,0,0,0,165.865,111.594,-11.7896,2.0878,-13.1127,111.594,66.0279,35.1026,1.4818,-3.4898,66.0279,42.793,-15.7768,-12.651,-4.5697,42.793,0,0,0,44.5856,111.594,-20.7592,9.4442,12.3539,111.594,74.8173,51.2791,-1.8557,3.6679,74.8173,58.9421,-10.0945,3.7213,3.0952,58.9421,
2,3.455,99.6821,11.2694,0,102.648,44.637,165.839,0,0,0,102.648,0.360994,0,0,0,0.360994,14.0707,3.26225,14.0707,5.9573,-0.5614,-2.019,3.26225,28.0226,0,0,0,28.0226,0,-11.1898,0.6078,9.1743,0,0,0,0,14.0707,96.6539,48.1729,71.8796,15.2568,96.6539,69.5467,-38.6048,73.9786,-23.7586,69.5467,89.3186,-6.0788,-3.6202,-3.3104,89.3186,0,0,0,14.0707,96.6539,17.01,-7.5084,-71.9369,96.6539,64.5474,-26.5963,-59.2915,20.9648,64.5474,69.8258,-3.5035,3.1226,3.5841,69.8258,0,0,0,165.839,111.594,-11.7783,2.0858,-13.1001,111.594,66.0149,35.069,1.4804,-3.4864,66.0149,42.7593,-15.7617,-12.6389,-4.5653,42.7593,0,0,0,44.637,111.594,-20.7393,9.4352,12.342,111.594,74.7961,51.2299,-1.8539,3.6644,74.7961,58.8929,-10.0848,3.7178,3.0923,58.8929,
3,6.1443,97.672,10.1214,0,103.742,46.0939,166.45,0,0,0,103.742,0.359909,0,0,0,0.359909,14.0707,3.26219,14.0707,5.956,-0.5235,-2.0391,3.26219,28.0234,0,0,0,28.0234,0,-11.2131,0.6853,9.0381,0,0,0,0,14.0707,96.6539,53.4996,69.0598,13.1941,96.6539,65.8675,-41.0802,76.4766,-26.2245,65.8675,94.193,-6.0887,-3.6299,-3.3158,94.193,0,0,0,14.0707,96.6539,14.4464,-6.0395,-70.38,96.6539,62.4616,-27.7972,-58.6842,21.484,62.4616,69.9965,-3.5979,3.1249,3.6023,69.9965,0,0,0,166.45,111.594,-11.1867,0.8205,-12.0369,111.594,65.2822,33.1539,1.2516,-1.88,65.2822,40.7899,-14.8762,-10.6855,-4.5643,40.7899,0,0,0,46.0939,111.594,-26.8176,10.5769,11.985,111.594,80.7757,50.2923,-1.5674,3.05,80.7757,57.9379,-10.0767,3.1432,3.1142,57.9379,
4,13.0139,91.8099,7.4081,0,106.968,50.3592,167.487,0,0,0,106.968,0.360994,0,0,0,0.360994,14.0707,3.26225,14.0707,5.9553,-0.4284,-2.0816,3.26225,28.0276,0,0,0,28.0276,0,-11.2361,0.8951,8.7572,0,0,0,0,14.0707,96.6539,66.8533,59.6771,9.9447,96.6539,55.6138,-45.9342,83.0848,-32.8184,55.6138,106.71,-6.1079,-3.651,-3.3245,106.71,0,0,0,14.0707,96.6539,8.0602,-1.4356,-66.122,96.6539,57.5085,-30.7494,-56.6169,22.2336,57.5085,69.5859,-4.5559,3.1271,3.6349,69.5859,0,0,0,167.487,111.594,-9.556,-5.0042,-9.8239,111.594,63.395,29.1718,0.6502,0.9869,63.395,36.8404,-12.5362,-5.5514,-4.5586,36.8404,0,0,0,50.3592,111.594,-40.2117,12.6171,11.0342,111.594,93.9662,45.2159,-0.8143,1.5168,93.9662,52.8351,-10.0428,1.633,3.1469,52.8351,
5,19.1755,85.6516,5.2206,0,110.417,54.8277,167.266,0,0,0,110.417,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,5.9695,-0.3495,-2.1066,3.26219,28.0453,0,0,0,28.0453,0,-11.2112,1.0985,8.6471,0,0,0,0,14.0707,96.6539,78.4287,49.8047,8.5143,96.6539,46.3873,-49.2094,89.1798,-38.9221,46.3873,117.768,-6.1249,-3.6691,-3.3285,117.768,0,0,0,14.0707,96.6539,1.443,3.5868,-62.8158,96.6539,54.8169,-33.5992,-54.1486,23.089,54.8169,68.8616,-6.6488,3.1279,3.6455,68.8616,0,0,0,167.266,111.594,-6.9508,-11.0731,-6.9908,111.594,60.5099,24.4966,0.1024,0.864,60.5099,32.1603,-10.4007,-0.8741,-4.5565,32.1603,0,0,0,54.8277,111.594,-50.2076,13.1693,10.1642,111.594,103.825,38.5839,-0.1282,0.6485,103.825,46.1964,-10.0081,0.2571,3.1471,46.1964,
6,22.2095,82.3929,4.8292,0,111.942,56.95,166.47,0,0,0,111.942,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,5.9064,-0.3577,-2.0411,3.26219,27.9777,0,0,0,27.9777,0,-11.31,1.323,8.5158,0,0,0,0,14.0707,96.6539,83.1573,46.7553,7.5049,96.6539,43.2465,-50.9426,91.6536,-41.3926,43.2465,122.412,-6.1285,-3.6781,-3.3224,122.412,0,0,0,14.0707,96.6539,-3.016,5.6006,-61.8848,96.6539,54.6342,-35.1012,-52.3771,23.6617,54.6342,68.1458,-8.3622,3.1278,3.5971,68.1458,0,0,0,166.47,111.594,-4.4041,-11.3974,-3.5092,111.594,57.7329,18.8761,-0.0928,-1.247,57.7329,26.486,-9.6388,0.7925,-4.5582,26.486,0,0,0,56.95,111.594,-54.6475,12.136,9.8532,111.594,108.219,37.6813,0.1162,0.8683,108.219,45.2879,-9.9947,-0.2331,3.1398,45.2879,
7,23.7878,80.3093,5.5074,0,112.535,58.1755,165.428,0,0,0,112.535,0.359365,0,0,0,0.359365,14.0707,3.26213,14.0707,5.6791,-0.4465,-1.9025,3.26213,27.7402,0,0,0,27.7402,0,-11.5644,1.5369,8.1041,0,0,0,0,14.0707,96.6539,83.8036,47.3952,7.3674,96.6539,43.8351,-51.293,91.9028,-41.6322,43.8351,122.968,-6.1145,-3.6856,-3.3089,122.968,0,0,0,14.0707,96.6539,-4.3899,5.2959,-61.2212,96.6539,53.9718,-35.7212,-49.8815,21.5274,53.9718,64.4627,-8.7836,3.1276,3.5059,64.4627,0,0,0,165.428,111.594,-3.7024,-12.053,-1.711,111.594,56.9648,15.1452,-0.0822,-1.479,56.9648,22.7599,-9.4107,0.7016,-4.5572,22.7599,0,0,0,58.1755,111.594,-55.813,11.3347,9.8695,111.594,109.38,39.5698,0.1029,1.4879,109.38,47.1746,-9.9907,-0.2064,3.151,47.1746,
8,24.8491,77.5532,6.1104,0,113.342,60.0558,163.617,0,0,0,113.342,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,5.4671,-0.3786,-1.5739,3.26219,27.5115,0,0,0,27.5115,0,-11.7851,1.7682,7.8361,0,0,0,0,14.0707,96.6539,83.2802,48.4315,8.7888,96.6539,46.1327,-49.2494,90.3419,-40.0732,46.1327,119.537,-6.6796,-3.7254,-3.3151,119.537,0,0,0,14.0707,96.6539,-4.0157,3.11,-62.0825,96.6539,54.1188,-36.0975,-44.4862,16.2197,54.1188,55.5424,-8.9063,3.1275,3.4104,55.5424,0,0,0,163.617,111.594,-4.2974,-15.2501,-1.081,111.594,57.5326,12.1907,-0.0287,-0.6179,57.5326,19.8051,-9.0092,0.2446,-4.5558,19.8051,0,0,0,60.0558,111.594,-54.374,11.7822,9.9022,111.594,107.951,38.9878,0.0359,2.3284,107.951,46.6024,-9.9843,-0.072,3.1541,46.6024,
9,25.9201,74.9144,6.3054,0,114.329,61.9898,161.95,0,0,0,114.329,0.359909,0,0,0,0.359909,14.0707,3.26213,14.0707,5.4066,-0.0976,-0.9857,3.26213,27.4302,0,0,0,27.4302,0,-11.9983,2.1248,7.7754,0,0,0,0,14.0707,96.6539,85.4815,49.1916,10.3073,96.6539,48.7149,-45.296,87.8258,-37.215,48.7149,113.492,-7.622,-3.7918,-3.3439,113.492,0,0,0,14.0707,96.6539,-4.6881,-0.5338,-63.0756,96.6539,54.0924,-36.3877,-37.7151,10.1814,54.0924,44.6038,-9.2235,3.1275,3.3282,44.6038,0,0,0,161.95,111.594,-5.0002,-16.5554,0.8302,111.594,58.2178,7.6594,0.002,0.5144,58.2178,15.3407,-8.7832,-0.017,-4.5566,15.3407,0,0,0,61.9898,111.594,-53.8056,12.6627,9.8461,111.594,107.38,38.8296,-0.0025,2.4134,107.38,46.4466,-9.9806,0.005,3.1483,46.4466,
