frame,hip_x,hip_y,hip_z,hip_parent,
0,7.996,100.191,6.1811,0,
1,7.952,99.6396,6.1471,0,
2,7.9444,99.5442,6.1412,0,
3,10.0931,97.4643,6.1452,0,
4,15.0052,92.423,5.4858,0,
5,18.6379,88.513,4.413,0,
6,19.2047,71.8148,2.7238,0,
7,18.0212,33.5258,-1.7384,0,
8,17.1446,3.2202,-7.0439,0,
9,17.6817,-3.9548,-9.783,0,
10,18.6857,-1.3361,-10.1216,0,
11,19.461,1.1038,-9.122,0,
12,19.3405,1.8115,-7.5939,0,
13,18.6705,2.2024,-6.2365,0,
14,18.8515,1.7153,-5.7922,0,
15,19.571,1.5616,-6.0776,0,
16,19.9113,2.4206,-6.1561,0,
17,20.0807,2.9822,-5.9943,0,
18,20.4971,3.3504,-6.0902,0,
19,20.6867,3.9206,-6.5463,0,
20,20.1933,4.6207,-7.1445,0,
21,19.6841,5.2008,-7.8202,0,
22,19.38,5.381,-8.7116,0,
23,19.2344,5.5254,-9.2174,0,
24,19.5883,5.1903,-8.5545,0,
25,19.913,3.7504,-7.3212,0,
26,19.4204,2.6965,-6.4992,0,
27,17.9429,2.5317,-6.7041,0,
28,16.7437,2.7229,-7.6141,0,
29,16.0418,4.3782,-7.5618,0,
30,14.1551,6.5685,-6.566,0,
31,12.7461,6.9404,-5.7069,0,
32,12.6625,7.4912,-5,0,
33,11.5469,10.2985,-4.457,0,
34,10.152,11.7224,-4.2,0,
35,9.8845,9.8782,-5.0313,0,
36,10.045,8.3155,-6.9771,0,
37,10.1006,8.7427,-8.7866,0,
38,10.2048,9.0604,-10.2807,0,
39,10.4314,8.9027,-11.4195,0,
40,10.5894,9.3353,-11.7911,0,
41,10.7589,9.4742,-11.8311,0,
42,10.9144,9.0037,-12.0098,0,
43,11.2475,8.5927,-12.3649,0,
44,12.1184,8.4152,-12.8951,0,
45,12.979,8.4602,-13.3008,0,
46,13.3242,8.5845,-13.2925,0,
47,13.3662,8.867,-13.0599,0,
48,13.4075,9.1588,-13.08,0,
