frame,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,
0,-18.1587,-46.0442,19.1048,58.7214,53.9596,-12.9088,3.1429,3.3714,53.9596,-18.5487,52.0533,-22.8209,64.8295,61.5529,-8.8495,-3.9058,-3.3154,61.5529,
1,-18.0587,-45.7906,18.9996,58.3521,53.6404,-12.8377,3.1256,3.3528,53.6404,-18.4466,51.7666,-22.6953,64.4015,61.1923,-8.8008,-3.8843,-3.2972,61.1923,
2,-18.0414,-45.7468,18.9814,58.2883,53.5852,-12.8254,3.1226,3.3496,53.5852,-18.4289,51.7171,-22.6735,64.3276,61.13,-8.7924,-3.8806,-3.294,61.13,
3,-20.7696,-43.8514,21.3465,54.0685,54.2673,-12.9473,3.1249,3.3707,54.2673,-23.6095,56.8601,-25.6902,61.7631,69.3954,-8.7585,-3.8903,-3.3002,69.3954,
4,-27.9588,-39.3924,27.5775,45.2921,57.3472,-13.3146,3.1271,3.413,57.3472,-34.0926,65.1542,-32.0038,65.6571,85.0659,-8.6711,-3.9078,-3.3119,85.0659,
5,-36.4961,-33.2186,35.3698,35.4277,61.5517,-13.9664,3.1279,3.5807,61.5517,-37.9397,67.3518,-35.3229,88.1148,90.9695,-8.9387,-3.9204,-3.3456,90.9695,
6,-40.7742,-28.331,39.7121,28.5355,62.7759,-15.3246,4.2477,4.3831,62.7759,-33.866,70.26,-34.2149,106.389,90.8133,-11.5075,-4.2659,-3.6032,90.8133,
7,-35.1258,-32.1588,34.6417,34.618,59.6374,-17.1273,7.1813,5.8434,59.6374,-29.7731,76.519,-32.3957,100.661,93.0845,-15.2709,-4.9537,-4.1579,93.0845,
8,-24.3029,-43.2839,24.7071,53.2248,57.2523,-17.931,9.8709,6.8876,57.2523,-28.1073,78.559,-32.9387,74.6225,94.2562,-14.7651,-4.8808,-4.5234,94.2562,
9,-18.7295,-52.6398,19.9081,65.5489,60.5038,-17.5653,10.8757,6.9936,60.5038,-27.6668,78.5489,-35.3222,60.102,95.2076,-10.2352,-3.7852,-4.4193,95.2076,
10,-20.7701,-55.8315,20.843,69.1657,64.5995,-17.083,10.8765,6.7313,64.5995,-28.6689,78.6356,-36.2111,60.2316,96.2803,-6.658,-2.797,-4.1751,96.2803,
11,-25.1794,-55.6273,22.911,69.2449,67.1985,-16.476,9.7973,6.4991,67.1985,-30.716,78.7786,-36.3184,49.2516,97.5864,-5.4654,-2.4017,-4.0267,97.5864,
12,-26.855,-55.1537,23.7712,68.1927,67.92,-15.4162,7.5225,6.3215,67.92,-28.2247,74.6151,-33.9397,40.7674,91.5159,-5.2291,-2.2271,-3.9621,91.5159,
13,-27.5627,-53.0415,23.8655,67.2036,66.3494,-14.6734,5.9635,6.2886,66.3494,-24.4974,66.919,-29.2971,38.7359,80.606,-4.7951,-2.0337,-3.9785,80.606,
14,-28.3679,-51.5415,23.5162,66.9789,65.0569,-14.8681,6.6793,6.4595,65.0569,-26.5604,66.3537,-29.2409,38.5622,81.023,-4.3921,-1.9367,-4.0918,81.023,
15,-27.4654,-52.6441,22.6667,67.9421,65.1665,-15.4793,8.7419,6.6768,65.1665,-29.277,69.5545,-31.4554,37.2816,86.3325,-4.5819,-2.0112,-4.2366,86.3325,
16,-26.3274,-53.5841,22.22,69.0046,65.3318,-15.7498,10.2827,6.7675,65.3318,-29.634,70.4507,-32.1673,37.3804,87.6903,-4.9362,-2.1158,-4.3128,87.6903,
17,-26.2018,-53.7286,22.3202,68.9847,65.4827,-15.6498,10.7447,6.7663,65.4827,-31.7115,72.0686,-33.9852,38.6615,91.1616,-4.8676,-2.1722,-4.3228,91.1616,
18,-25.9873,-54.1292,22.0044,68.4468,65.5688,-15.5544,10.7054,6.741,65.5688,-34.4221,74.8535,-36.6775,39.4775,96.511,-4.7747,-2.202,-4.3,96.511,
19,-24.5271,-55.4848,22.3458,68.8907,66.491,-15.6669,10.5833,6.7346,66.491,-35.0564,77.0706,-38.6865,40.01,99.8936,-4.8129,-2.1936,-4.2659,99.8936,
20,-22.3847,-57.6642,23.7013,70.1268,68.4518,-15.8202,10.5429,6.8144,68.4518,-35.1222,76.8063,-38.5471,40.6872,99.6293,-4.5816,-2.1861,-4.2682,99.6293,
21,-21.9136,-58.4777,23.9459,70.0147,69.1314,-15.7759,10.574,6.9182,69.1314,-34.7001,73.4821,-35.2713,41.3167,94.634,-4.4126,-2.2152,-4.2984,94.634,
