frame,lShin_x,lShin_y,lShin_z,lShin_parent,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,rShin_x,rShin_y,rShin_z,rShin_parent,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,
0,26.2546,-1.0984,3.692,78.2861,-24.9488,12.7961,4.2869,111.594,78.2861,34.5295,1.251,-3.1742,80.2238,-26.9544,2.9961,-1.3306,111.594,80.2238,
1,26.1101,-1.0923,3.6717,78.148,-24.8114,12.7256,4.2633,111.594,78.148,34.3394,1.2441,-3.1568,80.0753,-26.806,2.9796,-1.3233,111.594,80.0753,
2,26.1346,-1.0922,3.6671,78.3829,-25.0467,12.6421,4.2537,111.594,78.3829,34.3119,1.2447,-3.1522,80.0536,-26.7845,2.9517,-1.3005,111.594,80.0536,
3,26.2317,-0.925,3.4013,78.2795,-24.9329,12.267,4.452,111.594,78.2795,31.5655,1.0555,-2.7438,77.4355,-24.172,1.3409,0.3029,111.594,77.4355,
4,25.8608,-0.4815,3.8792,76.9908,-23.6243,11.603,4.785,111.594,76.9908,24.899,0.5502,-1.3456,71.3278,-17.9572,-2.7579,4.5657,111.594,71.3278,
5,24.9334,-0.0763,5.0871,75.7135,-22.3235,10.8621,5.1551,111.594,75.7135,18.5625,0.0875,-0.1823,65.9914,-12.2526,-7.0465,9.3558,111.594,65.9914,
6,23.1498,0.0685,3.4069,74.5291,-21.0714,7.9042,6.1479,111.594,74.5291,13.5983,-0.078,-0.183,64.515,-10.6792,-8.6521,10.214,111.594,64.515,
7,21.3702,0.0608,-0.0531,72.4262,-18.8771,0.9935,7.3401,111.594,72.4262,8.9725,-0.0694,-0.9304,66.4684,-13.0172,-7.3824,6.0531,111.594,66.4684,
8,20.3464,0.0212,-0.1592,69.7486,-16.2118,-5.9406,7.2873,111.594,69.7486,5.8417,-0.0243,-2.9988,68.3016,-15.0129,-6.5573,2.5725,111.594,68.3016,
9,18.1801,-0.0014,1.7405,68.2188,-14.8273,-6.0043,5.0474,111.594,68.2188,4.2447,0.0016,-5.0793,68.1781,-14.8898,-6.9592,2.5993,111.594,68.1781,
10,14.6017,-0.006,1.1211,68.9953,-15.7293,-0.9308,0.7447,111.594,68.9953,2.9672,0.0068,-5.0808,67.1645,-13.8552,-6.7385,3.2356,111.594,67.1645,
11,11.1672,-0.0034,-0.9013,68.6835,-15.3956,-0.1685,-2.1069,111.594,68.6835,2.1694,0.0039,-4.4531,66.1708,-12.8785,-6.2914,2.6429,111.594,66.1708,
12,12.7781,-0.0007,-0.8014,67.3564,-14.0944,-3.53,-0.3256,111.594,67.3564,2.0047,0.0007,-4.933,65.9527,-12.6731,-6.2485,2.1422,111.594,65.9527,
13,21.4184,0.0004,1.5288,69.941,-16.6281,-4.6857,3.2344,111.594,69.941,1.3083,-0.0005,-5.1801,65.8747,-12.5879,-6.187,2.4248,111.594,65.8747,
14,26.3515,0.0004,3.9964,72.8225,-19.4861,-3.4877,3.8601,111.594,72.8225,0.339,-0.0005,-4.1996,65.3773,-12.0899,-6.1089,2.4348,111.594,65.3773,
