frame,hip_x,hip_y,hip_z,hip_parent,hip_abdomen,hip_lButtock,hip_rButtock,abdomen_x,abdomen_y,abdomen_z,abdomen_parent,abdomen_chest,chest_x,chest_y,chest_z,chest_parent,chest_lCollar,chest_neck,chest_rCollar,neck_x,neck_y,neck_z,neck_parent,neck_neck1,neck1_x,neck1_y,neck1_z,neck1_parent,neck1_head,head_x,head_y,head_z,head_parent,rCollar_x,rCollar_y,rCollar_z,rCollar_parent,rCollar_rShldr,rShldr_x,rShldr_y,rShldr_z,rShldr_parent,rShldr_rForeArm,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,lCollar_x,lCollar_y,lCollar_z,lCollar_parent,lCollar_lShldr,lShldr_x,lShldr_y,lShldr_z,lShldr_parent,lShldr_lForeArm,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rButtock_x,rButtock_y,rButtock_z,rButtock_parent,rButtock_rThigh,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,rShin_x,rShin_y,rShin_z,rShin_parent,rShin_rFoot,rFoot_x,rFoot_y,rFoot_z,rFoot_parent,lButtock_x,lButtock_y,lButtock_z,lButtock_parent,lButtock_lThigh,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,lShin_x,lShin_y,lShin_z,lShin_parent,lShin_lFoot,lFoot_x,lFoot_y,lFoot_z,lFoot_parent,
0,7.996,100.191,6.1811,0,104.014,41.7857,167.299,0,0,0,104.014,0.359365,0,0,0,0.359365,14.0706,3.26219,14.0707,5.533,-0.7381,-3.1915,3.26219,27.6922,0,0,0,27.6922,0,-10.2293,0.109,10.588,0,0,0,0,14.0707,96.6539,29.1589,75.359,5.5216,96.6539,64.8295,-18.5487,52.0533,-22.8209,64.8295,61.5529,-8.8495,-3.9058,-3.3154,61.5529,0,0,0,14.0706,96.6539,8.4611,-49.8516,-49.0651,96.6539,58.7214,-18.1587,-46.0442,19.1048,58.7214,53.9596,-12.9088,3.1429,3.3714,53.9596,0,0,0,167.299,111.594,-26.9544,2.9961,-1.3306,111.594,80.2238,34.5295,1.251,-3.1742,80.2238,42.2024,-7.4234,-4.91,-4.4465,42.2024,0,0,0,41.7857,111.594,-24.9488,12.7961,4.2869,111.594,78.2861,26.2546,-1.0984,3.692,78.2861,33.9805,-11.3997,11.9128,5.4346,33.9805,
1,7.952,99.6396,6.1471,0,104.076,42.0087,167.536,0,0,0,104.076,0.359909,0,0,0,0.359909,14.0707,3.26225,14.0707,5.5026,-0.734,-3.1739,3.26225,27.6604,0,0,0,27.6604,0,-10.173,0.1084,10.5297,0,0,0,0,14.0707,96.6539,28.9983,74.944,5.4912,96.6539,64.4015,-18.4466,51.7666,-22.6953,64.4015,61.1923,-8.8008,-3.8843,-3.2972,61.1923,0,0,0,14.0707,96.6539,8.4145,-49.5771,-48.7949,96.6539,58.3521,-18.0587,-45.7906,18.9996,58.3521,53.6404,-12.8377,3.1256,3.3528,53.6404,0,0,0,167.536,111.594,-26.806,2.9796,-1.3233,111.594,80.0753,34.3394,1.2441,-3.1568,80.0753,42.0119,-7.3825,-4.8829,-4.4221,42.0119,0,0,0,42.0087,111.594,-24.8114,12.7256,4.2633,111.594,78.148,26.1101,-1.0923,3.6717,78.148,33.835,-11.3369,11.8472,5.4047,33.835,
2,7.9444,99.5442,6.1412,0,104.087,42.0478,167.575,0,0,0,104.087,0.360994,0,0,0,0.360994,14.0707,3.26225,14.0707,5.4973,-0.7333,-3.1709,3.26225,27.6548,0,0,0,27.6548,0,-10.1633,0.1083,10.5197,0,0,0,0,14.0707,96.6539,28.9705,74.8723,5.486,96.6539,64.3276,-18.4289,51.7171,-22.6735,64.3276,61.13,-8.7924,-3.8806,-3.294,61.13,0,0,0,14.0707,96.6539,8.4064,-49.5297,-48.7482,96.6539,58.2883,-18.0414,-45.7468,18.9814,58.2883,53.5852,-12.8254,3.1226,3.3496,53.5852,0,0,0,167.575,111.594,-26.7845,2.9517,-1.3005,111.594,80.0536,34.3119,1.2447,-3.1522,80.0536,41.9842,-7.4434,-4.79,-4.4161,41.9842,0,0,0,42.0478,111.594,-25.0467,12.6421,4.2537,111.594,78.3829,26.1346,-1.0922,3.6671,78.3829,33.8591,-11.3146,11.8327,5.3321,33.8591,
3,10.0931,97.4643,6.1452,0,104.221,42.5937,168.047,0,0,0,104.221,0.359909,0,0,0,0.359909,14.0707,3.26219,14.0707,5.5773,-0.5443,-2.5889,3.26219,27.6862,0,0,0,27.6862,0,-10.3275,0.5962,9.8787,0,0,0,0,14.0707,96.6539,33.6495,72.7013,4.8898,96.6539,61.7631,-23.6095,56.8601,-25.6902,61.7631,69.3954,-8.7585,-3.8903,-3.3002,69.3954,0,0,0,14.0707,96.6539,3.9806,-48.2735,-47.0719,96.6539,54.0685,-20.7696,-43.8514,21.3465,54.0685,54.2673,-12.9473,3.1249,3.3707,54.2673,0,0,0,168.047,111.594,-24.172,1.3409,0.3029,111.594,77.4355,31.5655,1.0555,-2.7438,77.4355,39.2234,-7.552,-3.893,-4.4124,39.2234,0,0,0,42.5937,111.594,-24.9329,12.267,4.452,111.594,78.2795,26.2317,-0.925,3.4013,78.2795,33.9338,-11.0959,9.9982,5.2216,33.9338,
4,15.0052,92.423,5.4858,0,104.857,44.2559,169.005,0,0,0,104.857,0.359909,0,0,0,0.359909,14.0707,3.26207,14.0707,5.8311,-0.1477,-1.0771,3.26207,27.857,0,0,0,27.857,0,-10.6134,1.5361,7.4296,0,0,0,0,14.0707,96.6539,46.2583,74.1773,7.7483,96.6539,65.6571,-34.0926,65.1542,-32.0038,65.6571,85.0659,-8.6711,-3.9078,-3.3119,85.0659,0,0,0,14.0707,96.6539,-6.953,-46.5994,-43.432,96.6539,45.2921,-27.9588,-39.3924,27.5775,45.2921,57.3472,-13.3146,3.1271,3.413,57.3472,0,0,0,169.005,111.594,-17.9572,-2.7579,4.5657,111.594,71.3278,24.899,0.5502,-1.3456,71.3278,32.5194,-7.6882,-1.9322,-4.4124,32.5194,0,0,0,44.2559,111.594,-23.6243,11.603,4.785,111.594,76.9908,25.8608,-0.4815,3.8792,76.9908,33.5868,-10.5605,5.1911,5.2098,33.5868,
5,18.6379,88.513,4.413,0,105.199,45.385,169.164,0,0,0,105.199,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,6.1568,-0.0609,0.3414,3.26219,28.1666,0,0,0,28.1666,0,-10.7554,1.2028,4.9125,0,0,0,0,14.0707,96.6539,61.6226,88.2501,15.5854,96.6539,88.1148,-37.9397,67.3518,-35.3229,88.1148,90.9695,-8.9387,-3.9204,-3.3456,90.9695,0,0,0,14.0707,96.6539,-18.5667,-41.9454,-41.1732,96.6539,35.4277,-36.4961,-33.2186,35.3698,35.4277,61.5517,-13.9664,3.1279,3.5807,61.5517,0,0,0,169.164,111.594,-12.2526,-7.0465,9.3558,111.594,65.9914,18.5625,0.0875,-0.1823,65.9914,26.1869,-7.8866,-0.2625,-4.4201,26.1869,0,0,0,45.385,111.594,-22.3235,10.8621,5.1551,111.594,75.7135,24.9334,-0.0763,5.0871,75.7135,32.7668,-10.0841,0.8159,5.2326,32.7668,
6,19.2047,71.8148,2.7238,0,108.961,56.4914,162.325,0,0,0,108.961,0.360452,0,0,0,0.360452,14.0707,3.26231,14.0707,6.6363,0.4013,1.021,3.26231,28.657,0,0,0,28.657,0,-12.1909,0.4075,2.323,0,0,0,0,14.0707,96.6539,71.7582,100.822,20.0323,96.6539,106.389,-33.866,70.26,-34.2149,106.389,90.8133,-11.5075,-4.2659,-3.6032,90.8133,0,0,0,14.0707,96.6539,-23.9037,-34.3051,-41.2058,96.6539,28.5355,-40.7742,-28.331,39.7121,28.5355,62.7759,-15.3246,4.2477,4.3831,62.7759,0,0,0,162.325,111.594,-10.6792,-8.6521,10.214,111.594,64.515,13.5983,-0.078,-0.183,64.515,21.2233,-7.9357,0.3017,-4.4213,21.2233,0,0,0,56.4914,111.594,-21.0714,7.9042,6.1479,111.594,74.5291,23.1498,0.0685,3.4069,74.5291,30.8395,-9.9174,-0.742,5.1732,30.8395,
7,18.0212,33.5258,-1.7384,0,115.49,88.1774,129.444,0,0,0,115.49,0.360452,0,0,0,0.360452,14.0707,3.26237,14.0707,7.7634,2.5085,1.2777,3.26237,29.7583,0,0,0,29.7583,0,-16.5492,1.9643,-3.5066,0,0,0,0,14.0707,96.6539,67.0014,87.831,28.6397,96.6539,100.661,-29.7731,76.519,-32.3957,100.661,93.0845,-15.2709,-4.9537,-4.1579,93.0845,0,0,0,14.0707,96.6539,-13.7877,-38.745,-38.5609,96.6539,34.618,-35.1258,-32.1588,34.6417,34.618,59.6374,-17.1273,7.1813,5.8434,59.6374,0,0,0,129.444,111.594,-13.0172,-7.3824,6.0531,111.594,66.4684,8.9725,-0.0694,-0.9304,66.4684,16.5835,-7.8935,0.2502,-4.4179,16.5835,0,0,0,88.1774,111.594,-18.8771,0.9935,7.3401,111.594,72.4262,21.3702,0.0608,-0.0531,72.4262,28.9989,-9.5044,-0.6563,4.6308,28.9989,
8,17.1446,3.2202,-7.0439,0,116.325,114.635,102.538,0,0,0,116.325,0.359909,0,0,0,0.359909,14.0707,3.26219,14.0707,9.6259,5.2798,1.589,3.26219,31.5585,0,0,0,31.5585,0,-21.3258,4.3584,-9.813,0,0,0,0,14.0707,96.6539,46.6276,44.6878,51.0728,96.6539,74.6225,-28.1073,78.559,-32.9387,74.6225,94.2562,-14.7651,-4.8808,-4.5234,94.2562,0,0,0,14.0707,96.6539,7.8815,-54.8723,-31.267,96.6539,53.2248,-24.3029,-43.2839,24.7071,53.2248,57.2523,-17.931,9.8709,6.8876,57.2523,0,0,0,102.538,111.594,-15.0129,-6.5573,2.5725,111.594,68.3016,5.8417,-0.0243,-2.9988,68.3016,13.6072,-7.9462,0.0827,-4.42,13.6072,0,0,0,114.635,111.594,-16.2118,-5.9406,7.2873,111.594,69.7486,20.3464,0.0212,-0.1592,69.7486,27.9803,-8.8642,-0.2287,4.6235,27.9803,
9,17.6817,-3.9548,-9.783,0,116.839,121.01,96.8178,0,0,0,116.839,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,11.2945,6.9648,2.0902,3.26219,33.1706,0,0,0,33.1706,0,-23.2898,4.9814,-12.7836,0,0,0,0,14.0707,96.6539,25.8582,-3.2224,69.3067,96.6539,60.102,-27.6668,78.5489,-35.3222,60.102,95.2076,-10.2352,-3.7852,-4.4193,95.2076,0,0,0,14.0707,96.6539,23.4559,-65.513,-26.2851,96.6539,65.5489,-18.7295,-52.6398,19.9081,65.5489,60.5038,-17.5653,10.8757,6.9936,60.5038,0,0,0,96.8178,111.594,-14.8898,-6.9592,2.5993,111.594,68.1781,4.2447,0.0016,-5.0793,68.1781,12.5522,-7.9776,-0.0089,-4.4217,12.5522,0,0,0,121.01,111.594,-14.8273,-6.0043,5.0474,111.594,68.2188,18.1801,-0.0014,1.7405,68.2188,25.8005,-8.9906,0.016,7.2457,25.8005,
