frame,hip_x,hip_y,hip_z,hip_parent,
0,0,0,0,0,
1,0,0,0,0,
2,0,0,0,0,
3,0.9392,-0.2316,-1.7512,0,
4,4.1693,-0.6265,-6.2972,0,
5,7.9274,0.4261,-10.3426,0,
6,9.5306,2.3577,-11.8036,0,
7,9.5355,2.2613,-11.8775,0,
8,9.9542,0.565,-11.316,0,
9,11.2752,-0.9703,-10.5113,0,
10,12.01,-1.7845,-9.9692,0,
11,12.0507,-2.0377,-9.74,0,
12,12.4032,-2.4185,-9.4859,0,
13,12.9829,-2.7299,-9.1244,0,
14,13.3592,-2.4562,-9.0345,0,
15,13.2886,-2.0549,-9.3069,0,
16,13.2587,-2.0015,-9.7358,0,
17,13.6401,-2.1249,-10.1171,0,
18,14.1536,-2.1207,-10.1781,0,
19,14.5793,-2.0517,-10.0992,0,
20,14.7688,-2.093,-10.2491,0,
21,14.3565,-1.7387,-10.0835,0,
22,13.7479,-0.9537,-9.4938,0,
23,13.573,-0.3748,-9.2896,0,
24,13.4826,0.0147,-9.5586,0,
25,13.6167,0.6452,-10.0868,0,
26,14.0432,1.2122,-10.5051,0,
27,14.1264,1.2057,-10.6872,0,
28,13.8451,1.7535,-11.1083,0,
29,13.5159,2.9998,-11.7616,0,
30,13.2406,3.6553,-12.4412,0,
31,12.8474,3.9285,-13.2517,0,
32,12.0335,4.7614,-14.0816,0,
33,10.7796,6.4534,-14.8442,0,
34,9.3462,8.0522,-15.6138,0,
35,8.4797,8.9944,-15.9956,0,
36,8.2468,9.8643,-15.8823,0,
37,7.3535,11.0851,-15.4152,0,
38,6.2869,12.3379,-14.4788,0,
39,6.6575,13.1973,-13.804,0,
40,7.7218,13.7602,-13.9907,0,
41,8.2303,13.9722,-14.5813,0,
42,8.4205,14.3426,-14.9952,0,
43,8.5917,15.2792,-14.8886,0,
44,8.9323,16.0591,-14.3774,0,
45,9.5961,16.3122,-13.9578,0,
46,10.0771,16.2465,-13.9626,0,
47,10.1432,16.4811,-14.1376,0,
48,9.9039,17.2057,-14.2805,0,
49,9.8003,17.7394,-14.4372,0,
50,10.0977,17.9623,-14.563,0,
51,10.307,18.2243,-14.7565,0,
52,10.3819,18.4462,-14.9567,0,
53,10.5315,18.4781,-15.147,0,
54,10.6304,18.4824,-15.4865,0,
55,10.5651,18.7341,-15.7656,0,
56,10.4555,19.1732,-15.7356,0,
57,10.4814,19.4905,-15.5708,0,
