frame,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,
0,0,0,0,12.2161,4.41557,0,0,0,4.41557,0,0,0,12.2161,4.41557,0,0,0,4.41557,
1,0,0,0,70.8175,84.1558,0,0,0,84.1558,0,0,0,46.719,73.8305,0,0,0,73.8305,
2,0,0,0,68.3999,85.3653,0,0,0,85.3653,0,0,0,47.0274,77.0421,0,0,0,77.0421,
3,-7.1299,-12.0378,4.5444,65.0095,86.742,-2.0373,1.3773,1.0739,86.742,-2.016,9.522,-1.1515,42.7917,74.2426,-0.9753,-0.4813,-0.6836,74.2426,
4,-25.2739,-43.3083,16.7079,62.1478,87.2044,-7.3387,4.954,3.8695,87.2044,-7.9509,34.7947,-4.5274,39.9245,70.7895,-3.5319,-1.7416,-2.471,70.7895,
5,-36.5969,-68.1171,24.8902,59.4126,86.8015,-11.9241,7.2173,6.3095,86.8015,-14.9908,57.795,-9.3214,39.463,69.8766,-7.6096,-3.2199,-4.1054,69.8766,
6,-33.8902,-71.6765,26.5134,57.2627,86.3092,-12.7582,5.7538,6.8707,86.3092,-17.3203,67.6456,-12.238,38.884,70.6124,-11.2669,-4.1054,-4.635,70.6124,
7,-31.3984,-68.7257,29.1624,57.1796,85.8344,-11.1707,3.1575,6.3147,85.8344,-14.276,69.7856,-11.9363,38.3943,72.5954,-10.7961,-3.8509,-4.4266,72.5954,
8,-30.1583,-66.8011,27.848,58.4692,87.0063,-9.504,1.7704,5.779,87.0063,-12.3169,68.028,-11.7448,39.566,76.0484,-8.718,-3.3126,-4.1498,76.0484,
9,-25.5842,-66.9029,24.7404,59.5327,89.9587,-9.2121,1.5271,5.7572,89.9587,-13.1015,68.628,-12.2342,43.0504,77.5688,-9.8315,-3.5664,-4.1604,77.5688,
10,-21.2715,-69.7808,24.8155,60.7615,91.3,-9.6361,1.7313,5.9511,91.3,-12.438,71.3354,-11.616,48.2842,77.1434,-11.6258,-3.9721,-4.2948,77.1434,
11,-18.8567,-71.61,23.9253,63.4637,89.3658,-9.5242,1.9845,6.0422,89.3658,-10.6251,71.5124,-10.5777,52.6713,78.733,-10.1838,-3.6915,-4.3409,78.733,
12,-16.6744,-72.2892,22.0775,66.5399,87.5776,-9.2134,2.2556,6.0778,87.5776,-10.1081,70.8519,-10.3893,55.6816,79.8009,-7.4113,-3.1357,-4.3124,79.8009,
13,-14.8317,-74.2487,21.9018,67.7258,89.4936,-9.0548,2.421,6.0983,89.4936,-11.4407,69,-11.1798,60.1036,78.3371,-5.9353,-2.8028,-4.2753,78.3371,
14,-14.9732,-76.4255,23.676,67.991,92.2308,-8.8452,2.3006,5.9715,92.2308,-16.0121,65.0614,-16.01,63.2728,78.7197,-5.4608,-2.6101,-4.1645,78.7197,
15,-15.2283,-77.9582,25.3149,68.4145,92.2651,-8.8752,2.0253,5.6688,92.2651,-19.9008,64.615,-24.0487,65.1764,81.7229,-5.4217,-2.5092,-3.926,81.7229,
16,-13.2003,-80.0489,26.3428,68.1553,91.8986,-9.2789,1.868,5.4314,91.8986,-19.608,66.485,-27.474,67.7393,83.7665,-5.5861,-2.5109,-3.7258,83.7665,
17,-10.746,-82.8118,26.9992,70.4327,93.0554,-9.6977,1.8629,5.3891,93.0554,-20.1193,63.2929,-26.948,69.1711,84.7353,-5.7232,-2.5402,-3.6827,84.7353,
18,-8.8694,-84.8562,25.0815,71.5164,98.4228,-9.7766,1.8975,5.4262,98.4228,-21.8908,58.5419,-26.7617,70.9862,85.6357,-5.7098,-2.516,-3.7085,85.6357,
19,-6.2933,-86.2583,22.134,68.0649,103.311,-9.8707,1.9872,5.4699,103.311,-21.3629,58.3595,-25.828,75.833,84.7188,-5.6909,-2.4845,-3.7252,84.7188,
20,-3.8023,-87.0482,20.7527,68.1026,103.253,-10.2051,2.1045,5.5086,103.253,-19.479,60.6152,-24.994,81.8685,82.4778,-5.748,-2.5133,-3.7337,82.4778,
21,-3.86,-86.4843,20.9088,68.8421,109.435,-10.0977,2.0877,5.5161,109.435,-19.6848,62.0179,-26.2738,86.2051,81.0609,-5.665,-2.519,-3.749,81.0609,
22,-6.5283,-86.4132,21.8812,67.7548,117.898,-9.5332,1.9626,5.4892,117.898,-22.0224,63.1669,-28.9288,89.1133,80.6047,-5.4974,-2.4711,-3.7563,80.6047,
23,-9.2978,-88.2167,22.7148,72.9004,116.959,-9.1895,1.8744,5.4711,116.959,-21.9077,64.5869,-29.5926,93.3273,79.928,-5.4022,-2.4305,-3.7523,79.928,
24,-10.7987,-88.8806,23.1813,79.5654,114.667,-8.8766,1.807,5.4727,114.667,-19.7442,65.7769,-28.7733,98.5865,79.5239,-5.2246,-2.3819,-3.7597,79.5239,
25,-11.4392,-86.704,21.9462,83.9941,115.02,-8.3229,1.7372,5.457,115.02,-20.348,66.4855,-30.1587,101.067,80.927,-5.0447,-2.3411,-3.764,80.927,
26,-11.563,-85.0839,20.3188,90.6832,116.122,-8.0245,1.8249,5.5479,116.122,-22.2215,65.8141,-31.5324,100.65,83.9202,-5.1417,-2.3888,-3.8365,83.9202,
27,-11.8683,-86.7379,21.5681,96.476,121.379,-8.3963,2.1711,5.863,121.379,-20.3816,66.2783,-29.6931,99.6143,87.5393,-5.5776,-2.5542,-4.0556,87.5393,
28,-12.8194,-88.8563,23.4486,97.672,128.082,-8.9814,2.4075,6.1116,128.082,-14.6819,70.4386,-28.9044,98.5883,90.3074,-6.051,-2.7623,-4.2668,90.3074,
29,-13.1687,-88.805,23.1165,97.6372,130.346,-10.2214,3.5419,6.2886,130.346,-9.8528,75.3921,-33.1548,98.2453,89.9509,-8.3934,-3.3363,-4.4174,89.9509,
30,-12.9075,-88.6069,22.7872,97.8436,130.08,-13.0454,6.6813,6.7245,130.08,-8.952,77.7273,-35.7082,97.9786,86.9192,-14.3181,-4.5522,-4.6136,86.9192,
31,-16.9465,-87.598,23.897,97.0498,131.344,-15.3288,9.4801,7.1043,131.344,-9.5742,78.8483,-34.6476,96.3917,84.3959,-17.7969,-5.2306,-4.6956,84.3959,
32,-27.3512,-88.4965,24.015,95.0054,132.998,-15.2983,10.0593,7.1686,132.998,-9.5505,79.7849,-35.33,94.1508,83.8688,-14.181,-4.5283,-4.5775,83.8688,
33,-35.8629,-91.1431,22.1545,92.9183,131.418,-14.3488,9.6394,7.1745,131.418,-10.2093,77.7879,-36.1879,92.7716,83.9013,-9.2669,-3.6624,-4.5348,83.9013,
34,-39.0482,-89.4766,22.7188,91.9743,126.279,-13.4579,9.519,7.1641,126.279,-12.2663,73.8607,-34.9059,92.2875,82.8438,-8.1532,-3.6494,-4.6792,82.8438,
35,-43.5946,-91.2401,27.2738,91.5905,120.377,-12.5532,9.7571,7.0924,120.377,-14.5294,71.1586,-33.4372,92.0364,81.2464,-9.5881,-4.1149,-4.8406,81.2464,
