frame,lShin_x,lShin_y,lShin_z,lShin_parent,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,rShin_x,rShin_y,rShin_z,rShin_parent,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,
0,0,0,0,53.2633,0,0,0,111.594,53.2633,0,0,0,53.2633,0,0,0,111.594,53.2633,
1,0,0,0,71.4866,0,0,0,111.594,71.4866,0,0,0,70.5977,0,0,0,111.594,70.5977,
2,0,0,0,71.5238,0,0,0,111.594,71.5238,0,0,0,71.9324,0,0,0,111.594,71.9324,
3,1.3636,0,0.7944,70.7209,-0.6427,0.1682,1.2089,111.594,70.7209,0.9342,0,0.3196,73.1647,-0.3003,0.2039,0.8657,111.594,73.1647,
4,4.3679,0,2.7494,70.2783,-3.4882,-0.1137,4.718,111.594,70.2783,3.0737,0,0.8374,73.6578,-2.0084,0.3227,3.4891,111.594,73.6578,
5,6.2597,0,4.0816,70.942,-8.105,-2.481,8.4959,111.594,70.942,4.4677,0,1.4619,74.0996,-5.1766,-0.0364,5.9454,111.594,74.0996,
6,6.767,0,4.3968,71.9723,-11.4134,-4.8124,10.337,111.594,71.9723,4.7464,0,2.2346,74.996,-7.4353,-0.1197,6.4489,111.594,74.996,
7,8.6719,0,5.1437,72.9827,-12.531,-3.7411,10.5231,111.594,72.9827,6.453,0,1.1849,75.2534,-8.0691,0.2927,6.6062,111.594,75.2534,
8,11.4724,0,5.8424,73.6809,-12.7453,-2.0938,10.1485,111.594,73.6809,9.4939,0,-1.4071,74.9271,-8.8276,0.6373,7.7932,111.594,74.9271,
9,12.5645,0,5.7559,74.2388,-13.0865,-2.5935,9.9189,111.594,74.2388,11.0327,0,-2.2117,75.2945,-10.2094,0.7362,9.1244,111.594,75.2945,
10,12.4901,0,5.6053,74.7951,-13.8329,-3.282,9.914,111.594,74.7951,11.6522,0,-1.8535,75.8936,-11.5742,0.6363,9.9017,111.594,75.8936,
11,12.1607,0,5.7079,74.7066,-13.8643,-2.9387,9.9662,111.594,74.7066,12.8083,0,-2.9156,75.8655,-12.6589,0.5586,10.3561,111.594,75.8655,
12,11.8886,0,5.2814,73.7183,-13.8158,-2.2892,9.9997,111.594,73.7183,14.0005,0,-4.5928,75.5962,-13.7292,0.6644,10.3562,111.594,75.5962,
13,12.3909,0,4.2665,72.9432,-15.2396,-2.075,10.0079,111.594,72.9432,15.3192,0,-5.7089,75.8878,-14.8415,0.8241,10.2305,111.594,75.8878,
