frame,hip_x,hip_y,hip_z,hip_parent,hip_abdomen,hip_lButtock,hip_rButtock,abdomen_x,abdomen_y,abdomen_z,abdomen_parent,abdomen_chest,chest_x,chest_y,chest_z,chest_parent,chest_lCollar,chest_neck,chest_rCollar,neck_x,neck_y,neck_z,neck_parent,neck_neck1,neck1_x,neck1_y,neck1_z,neck1_parent,neck1_head,head_x,head_y,head_z,head_parent,rCollar_x,rCollar_y,rCollar_z,rCollar_parent,rCollar_rShldr,rShldr_x,rShldr_y,rShldr_z,rShldr_parent,rShldr_rForeArm,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,lCollar_x,lCollar_y,lCollar_z,lCollar_parent,lCollar_lShldr,lShldr_x,lShldr_y,lShldr_z,lShldr_parent,lShldr_lForeArm,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rButtock_x,rButtock_y,rButtock_z,rButtock_parent,rButtock_rThigh,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,rShin_x,rShin_y,rShin_z,rShin_parent,rShin_rFoot,rFoot_x,rFoot_y,rFoot_z,rFoot_parent,lButtock_x,lButtock_y,lButtock_z,lButtock_parent,lButtock_lThigh,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,lShin_x,lShin_y,lShin_z,lShin_parent,lShin_lFoot,lFoot_x,lFoot_y,lFoot_z,lFoot_parent,
0,0,0,0,0,2.02497,63.8523,63.8523,0,0,0,2.02497,0.359909,0,0,0,0.359909,14.0707,3.26213,14.0707,0,0,0,3.26213,22.0076,0,0,0,22.0076,0,0,0,0,0,0,0,0,14.0707,96.6539,0,0,0,96.6539,12.2161,0,0,0,12.2161,4.41557,0,0,0,4.41557,0,0,0,14.0707,96.6539,0,0,0,96.6539,12.2161,0,0,0,12.2161,4.41557,0,0,0,4.41557,0,0,0,63.8523,111.594,0,0,0,111.594,53.2633,0,0,0,53.2633,7.66959,0,0,0,7.66959,0,0,0,63.8523,111.594,0,0,0,111.594,53.2633,0,0,0,53.2633,7.66959,0,0,0,7.66959,
1,0,0,0,0,113.14,98.6296,116.367,0,0,0,113.14,0.359909,0,0,0,0.359909,14.0707,3.26219,14.0707,0,0,0,3.26219,29.1699,0,0,0,29.1699,0,0,0,0,0,0,0,0,14.0707,96.6539,0,0,0,96.6539,46.719,0,0,0,46.719,73.8305,0,0,0,73.8305,0,0,0,14.0707,96.6539,0,0,0,96.6539,70.8175,0,0,0,70.8175,84.1558,0,0,0,84.1558,0,0,0,116.367,111.594,0,0,0,111.594,70.5977,0,0,0,70.5977,26.6007,0,0,0,26.6007,0,0,0,98.6296,111.594,0,0,0,111.594,71.4866,0,0,0,71.4866,21.8125,0,0,0,21.8125,
2,0,0,0,0,112.985,98.4715,116.415,0,0,0,112.985,0.360994,0,0,0,0.360994,14.0707,3.26213,14.0707,0,0,0,3.26213,28.6569,0,0,0,28.6569,0,0,0,0,0,0,0,0,14.0707,96.6539,0,0,0,96.6539,47.0274,0,0,0,47.0274,77.0421,0,0,0,77.0421,0,0,0,14.0707,96.6539,0,0,0,96.6539,68.3999,0,0,0,68.3999,85.3653,0,0,0,85.3653,0,0,0,116.415,111.594,0,0,0,111.594,71.9324,0,0,0,71.9324,27.3894,0,0,0,27.3894,0,0,0,98.4715,111.594,0,0,0,111.594,71.5238,0,0,0,71.5238,21.9179,0,0,0,21.9179,
3,0.9392,-0.2316,-1.7512,0,113.243,98.6051,116.469,0,0,0,113.243,0.360452,0,0,0,0.360452,14.0707,3.26231,14.0707,1.8165,1.0839,0.0442,3.26231,28.4341,0,0,0,28.4341,0,-3.556,2.5483,3.2341,0,0,0,0,14.0707,96.6539,6.4732,8.1624,7.0796,96.6539,42.7917,-2.016,9.522,-1.1515,42.7917,74.2426,-0.9753,-0.4813,-0.6836,74.2426,0,0,0,14.0707,96.6539,5.042,-1.738,-12.9124,96.6539,65.0095,-7.1299,-12.0378,4.5444,65.0095,86.742,-2.0373,1.3773,1.0739,86.742,0,0,0,116.469,111.594,-0.3003,0.2039,0.8657,111.594,73.1647,0.9342,0,0.3196,73.1647,28.9339,0,0,0,28.9339,0,0,0,98.6051,111.594,-0.6427,0.1682,1.2089,111.594,70.7209,1.3636,0,0.7944,70.7209,22.0086,0,0,0,22.0086,
4,4.1693,-0.6265,-6.2972,0,113.725,98.7519,116.676,0,0,0,113.725,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,6.1556,4.1514,0.4673,3.26219,29.0894,0,0,0,29.0894,0,-12.9955,8.5131,7.029,0,0,0,0,14.0707,96.6539,23.3961,29.9387,25.0045,96.6539,39.9245,-7.9509,34.7947,-4.5274,39.9245,70.7895,-3.5319,-1.7416,-2.471,70.7895,0,0,0,14.0707,96.6539,18.3255,-7.1962,-46.1772,96.6539,62.1478,-25.2739,-43.3083,16.7079,62.1478,87.2044,-7.3387,4.954,3.8695,87.2044,0,0,0,116.676,111.594,-2.0084,0.3227,3.4891,111.594,73.6578,3.0737,0,0.8374,73.6578,30.5911,0,0,0,30.5911,0,0,0,98.7519,111.594,-3.4882,-0.1137,4.718,111.594,70.2783,4.3679,0,2.7494,70.2783,22.9229,0,0,0,22.9229,
5,7.9274,0.4261,-10.3426,0,114.171,98.8488,116.906,0,0,0,114.171,0.360994,0,0,0,0.360994,14.0707,3.26219,14.0707,9.2789,7.331,1.3765,3.26219,29.4714,0,0,0,29.4714,0,-21.7839,13.0245,2.4367,0,0,0,0,14.0707,96.6539,38.5993,50.2401,39.027,96.6539,39.463,-14.9908,57.795,-9.3214,39.463,69.8766,-7.6096,-3.2199,-4.1054,69.8766,0,0,0,14.0707,96.6539,31.6428,-18.2134,-73.6402,96.6539,59.4126,-36.5969,-68.1171,24.8902,59.4126,86.8015,-11.9241,7.2173,6.3095,86.8015,0,0,0,116.906,111.594,-5.1766,-0.0364,5.9454,111.594,74.0996,4.4677,0,1.4619,74.0996,31.3103,0,0,0,31.3103,0,0,0,98.8488,111.594,-8.105,-2.481,8.4959,111.594,70.942,6.2597,0,4.0816,70.942,23.3851,0,0,0,23.3851,
6,9.5306,2.3577,-11.8036,0,114.333,98.9101,116.962,0,0,0,114.333,0.360994,0,0,0,0.360994,14.0707,3.26225,14.0707,9.6727,8.6514,1.8618,3.26225,29.2806,0,0,0,29.2806,0,-24.9271,14.9243,-2.2887,0,0,0,0,14.0707,96.6539,43.9528,57.9098,39.3247,96.6539,38.884,-17.3203,67.6456,-12.238,38.884,70.6124,-11.2669,-4.1054,-4.635,70.6124,0,0,0,14.0707,96.6539,36.168,-21.2941,-83.3883,96.6539,57.2627,-33.8902,-71.6765,26.5134,57.2627,86.3092,-12.7582,5.7538,6.8707,86.3092,0,0,0,116.962,111.594,-7.4353,-0.1197,6.4489,111.594,74.996,4.7464,0,2.2346,74.996,31.9599,0,0,0,31.9599,0,0,0,98.9101,111.594,-11.4134,-4.8124,10.337,111.594,71.9723,6.767,0,4.3968,71.9723,23.1718,0,0,0,23.1718,
7,9.5355,2.2613,-11.8775,0,113.967,98.4995,117.12,0,0,0,113.967,0.359909,0,0,0,0.359909,14.0707,3.26219,14.0707,9.0308,8.5392,1.6267,3.26219,29.3144,0,0,0,29.3144,0,-24.3631,15.8546,-0.1452,0,0,0,0,14.0707,96.6539,44.2413,58.2685,34.407,96.6539,38.3943,-14.276,69.7856,-11.9363,38.3943,72.5954,-10.7961,-3.8509,-4.4266,72.5954,0,0,0,14.0707,96.6539,34.5152,-8.2575,-87.2715,96.6539,57.1796,-31.3984,-68.7257,29.1624,57.1796,85.8344,-11.1707,3.1575,6.3147,85.8344,0,0,0,117.12,111.594,-8.0691,0.2927,6.6062,111.594,75.2534,6.453,0,1.1849,75.2534,33.0039,0,0,0,33.0039,0,0,0,98.4995,111.594,-12.531,-3.7411,10.5231,111.594,72.9827,8.6719,0,5.1437,72.9827,23.6861,0,0,0,23.6861,
8,9.9542,0.565,-11.316,0,113.511,97.7355,117.579,0,0,0,113.511,0.359909,0,0,0,0.359909,14.0707,3.26213,14.0707,8.5063,8.1868,1.3272,3.26213,29.0252,0,0,0,29.0252,0,-22.8636,15.6944,2.4966,0,0,0,0,14.0707,96.6539,43.7802,56.7215,32.7541,96.6539,39.566,-12.3169,68.028,-11.7448,39.566,76.0484,-8.718,-3.3126,-4.1498,76.0484,0,0,0,14.0707,96.6539,35.2339,-3.3398,-86.0841,96.6539,58.4692,-30.1583,-66.8011,27.848,58.4692,87.0063,-9.504,1.7704,5.779,87.0063,0,0,0,117.579,111.594,-8.8276,0.6373,7.7932,111.594,74.9271,9.4939,0,-1.4071,74.9271,33.7269,0,0,0,33.7269,0,0,0,97.7355,111.594,-12.7453,-2.0938,10.1485,111.594,73.6809,11.4724,0,5.8424,73.6809,24.2354,0,0,0,24.2354,
9,11.2752,-0.9703,-10.5113,0,113.402,97.1893,118.07,0,0,0,113.402,0.35882,0,0,0,0.35882,14.0707,3.26213,14.0707,8.1754,7.9135,1.0481,3.26213,28.4617,0,0,0,28.4617,0,-21.9912,14.7878,5.603,0,0,0,0,14.0707,96.6539,44.254,55.1535,31.7604,96.6539,43.0504,-13.1015,68.628,-12.2342,43.0504,77.5688,-9.8315,-3.5664,-4.1604,77.5688,0,0,0,14.0707,96.6539,38.1151,-7.0985,-83.5505,96.6539,59.5327,-25.5842,-66.9029,24.7404,59.5327,89.9587,-9.2121,1.5271,5.7572,89.9587,0,0,0,118.07,111.594,-10.2094,0.7362,9.1244,111.594,75.2945,11.0327,0,-2.2117,75.2945,33.9486,0,0,0,33.9486,0,0,0,97.1893,111.594,-13.0865,-2.5935,9.9189,111.594,74.2388,12.5645,0,5.7559,74.2388,24.3256,0,0,0,24.3256,
