frame,hip_x,hip_y,hip_z,hip_parent,
0,0,0,0,0,
1,0,0,0,0,
2,0,0,0,0,
3,-0.2598,0.4029,0.3077,0,
4,-0.8635,0.9255,1.0512,0,
5,-1.2666,0.6145,1.7102,0,
6,-1.2309,1.1913,1.8833,0,
7,-1.0912,3.7914,1.5244,0,
8,-1.1612,6.5626,0.8489,0,
9,-1.4987,7.8307,0.3342,0,
10,-1.8822,7.6389,0.1283,0,
11,-2.1591,8.0941,0.0176,0,
12,-2.5671,9.1988,0.2235,0,
13,-3.1542,9.4056,0.7649,0,
14,-3.5601,9.471,1.1985,0,
15,-3.704,10.0534,1.4118,0,
16,-3.8349,10.245,1.564,0,
17,-4.3857,10.0294,1.8175,0,
18,-5.1234,10.3825,1.6873,0,
19,-5.3475,11.2292,0.9017,0,
20,-5.3354,11.8045,0.3985,0,
21,-5.1222,12.2884,0.5806,0,
22,-4.4569,13.211,0.4028,0,
23,-3.9577,14.4995,-0.6394,0,
24,-3.8514,16.4015,-1.5902,0,
25,-4.1449,18.9234,-2.6018,0,
26,-4.3638,19.7869,-4.7552,0,
27,-4.079,19.4947,-6.5792,0,
28,-5.1143,21.9395,-6.7462,0,
29,-7.0661,23.6907,-7.4838,0,
30,-8.1132,22.8333,-9.119,0,
31,-9.2986,25.5319,-9.5279,0,
32,-9.8196,30.1306,-8.9878,0,
33,-8.828,31.5762,-8.6047,0,
34,-8.7978,32.4927,-9.3769,0,
35,-10.0556,34.0921,-11.2851,0,
36,-10.3115,34.6306,-12.0055,0,
37,-9.5679,35.2784,-10.4491,0,
38,-9.13,36.8677,-8.5724,0,
39,-8.9868,38.2824,-7.9138,0,
40,-8.5638,38.8132,-7.8887,0,
41,-7.7926,38.8224,-7.76,0,
42,-7.3054,39.1842,-7.3405,0,
43,-7.2025,39.9664,-6.923,0,
44,-6.7455,40.7645,-6.9576,0,
45,-6.0174,40.9974,-6.857,0,
46,-5.4571,39.8686,-6.1971,0,
47,-4.8569,38.6688,-5.774,0,
48,-4.3353,38.548,-5.5977,0,
49,-4.1614,38.0914,-5.1712,0,
50,-4.245,37.315,-4.7985,0,
51,-4.4679,37.5527,-4.5996,0,
52,-4.8058,38.1897,-4.3739,0,
53,-5.0754,38.1807,-4.2661,0,
54,-4.9669,37.8507,-4.4683,0,
55,-4.4928,37.6954,-4.7214,0,
56,-3.883,37.3923,-4.5708,0,
57,-3.4285,36.7661,-4.0809,0,
58,-3.323,36.5238,-3.7705,0,
