frame,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,
0,0,0,0,12.2161,4.41557,0,0,0,4.41557,0,0,0,12.2161,4.41557,0,0,0,4.41557,
1,0,0,0,57.5691,76.2839,0,0,0,76.2839,0,0,0,58.0959,60.5083,0,0,0,60.5083,
2,0,0,0,63.1518,71.0375,0,0,0,71.0375,0,0,0,56.8904,61.7041,0,0,0,61.7041,
3,-5.2071,-8.9387,3.6698,67.6311,63.0707,-1.7877,0.4124,0.9317,63.0707,0.3557,7.9159,0.8145,55.7373,62.3848,-1.7949,-0.4667,-0.6362,62.3848,
4,-20.4877,-32.5338,13.1042,69.8094,54.983,-6.6004,1.5522,3.4235,54.983,1.5519,28.3525,2.5541,56.8824,62.4599,-6.5115,-1.6964,-2.3301,62.4599,
5,-36.3552,-53.7738,21.7737,69.4569,51.3512,-11.0951,2.6332,5.7602,51.3512,1.224,46.5664,4.1764,58.9631,62.2143,-10.8418,-2.8096,-3.9109,62.2143,
6,-39.1382,-63.455,26.9949,67.0076,50.8869,-12.7417,2.9783,6.6269,50.8869,-4.0861,54.0459,2.6003,58.9186,62.5433,-12.375,-3.291,-4.5024,62.5433,
7,-32.4989,-68.5603,30.1461,65.21,49.7846,-12.7828,2.8733,6.5831,49.7846,-9.0531,57.2405,-1.5382,57.1067,62.7607,-12.2763,-3.4259,-4.4802,62.7607,
8,-31.0904,-69.169,29.6548,64.9784,48.7931,-12.565,2.7089,6.3359,48.7931,-9.298,60.5055,-1.1146,55.3323,62.2714,-11.9292,-3.2778,-4.3004,62.2714,
9,-34.6504,-66.6161,27.6907,65.3278,47.2235,-12.4987,2.6236,6.1827,47.2235,-9.7642,63.3208,1.8959,54.8275,62.108,-11.7265,-3.0174,-4.1725,62.108,
10,-34.3028,-65.6811,26.9248,65.5469,44.3217,-12.5196,2.6929,6.1738,44.3217,-10.5407,64.5679,1.1867,55.2191,62.6191,-11.6149,-3.0002,-4.1556,62.6191,
11,-32.1096,-65.2641,25.9621,65.6525,42.9464,-12.3788,2.8597,6.2232,42.9464,-9.8157,66.3308,-0.8055,55.2982,63.1204,-11.4979,-3.1893,-4.1982,63.1204,
12,-32.592,-63.011,23.7397,66.0546,43.4011,-11.9016,2.8011,6.1538,43.4011,-9.2286,68.4502,-0.6954,54.6361,63.4205,-10.5541,-3.172,-4.1845,63.4205,
