frame,lShin_x,lShin_y,lShin_z,lShin_parent,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,rShin_x,rShin_y,rShin_z,rShin_parent,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,
0,0,0,0,53.2633,0,0,0,111.594,53.2633,0,0,0,53.2633,0,0,0,111.594,53.2633,
1,0,0,0,57.0268,0,0,0,111.594,57.0268,0,0,0,64.0309,0,0,0,111.594,64.0309,
2,0,0,0,56.4967,0,0,0,111.594,56.4967,0,0,0,63.7457,0,0,0,111.594,63.7457,
3,1.2377,0,-1.2379,56.7283,0.4366,-0.1017,-0.6947,111.594,56.7283,0.9751,0,0,62.3003,0.1383,-0.6384,-0.2009,111.594,62.3003,
4,5.1642,0,-4.7366,56.895,1.2173,-0.4745,-2.2244,111.594,56.895,3.7406,0,0.2638,60.7832,0.3625,-1.6726,-0.579,111.594,60.7832,
5,9.7946,0,-8.3767,56.5906,1.4091,-0.8033,-3.3593,111.594,56.5906,6.6196,0,0.7479,59.6877,0.4475,-1.3833,-0.894,111.594,59.6877,
6,11.9735,0,-9.8317,56.4377,1.3437,-0.6973,-4.0009,111.594,56.4377,7.8658,0,0.9596,58.2505,0.6051,-0.1639,-1.1285,111.594,58.2505,
7,11.6097,0,-9.4093,56.2159,1.5633,-0.6587,-4.3476,111.594,56.2159,7.9428,0,0.9521,56.791,0.6605,0.2716,-0.8491,111.594,56.791,
8,11.9887,0,-8.278,55.7244,1.3859,-1.1202,-4.0804,111.594,55.7244,8.7931,0,1.6601,55.5847,0.3697,-0.1607,-0.2124,111.594,55.5847,
9,14.8049,0,-7.6239,55.4788,0.5124,-2.1461,-3.8098,111.594,55.4788,10.9999,0,2.9501,54.5084,0.1136,-0.6726,-0.1126,111.594,54.5084,
10,17.2738,0,-8.0741,55.5185,0.0153,-3.1322,-3.8739,111.594,55.5185,13.0827,0,4.0676,53.5559,0.2502,-1.1337,-0.1528,111.594,53.5559,
11,18.4756,0,-8.5492,55.7248,0.4301,-3.0039,-3.9209,111.594,55.7248,14.8269,0,5.5226,52.6133,0.5281,-1.5039,-0.0364,111.594,52.6133,
12,20.1364,0,-8.6728,55.9558,0.3886,-2.4878,-4.2737,111.594,55.9558,16.8441,0,6.5326,51.8953,0.2355,-1.263,-0.3386,111.594,51.8953,
