frame,hip_x,hip_y,hip_z,hip_parent,hip_abdomen,hip_lButtock,hip_rButtock,abdomen_x,abdomen_y,abdomen_z,abdomen_parent,abdomen_chest,chest_x,chest_y,chest_z,chest_parent,chest_lCollar,chest_neck,chest_rCollar,neck_x,neck_y,neck_z,neck_parent,neck_neck1,neck1_x,neck1_y,neck1_z,neck1_parent,neck1_head,head_x,head_y,head_z,head_parent,rCollar_x,rCollar_y,rCollar_z,rCollar_parent,rCollar_rShldr,rShldr_x,rShldr_y,rShldr_z,rShldr_parent,rShldr_rForeArm,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,lCollar_x,lCollar_y,lCollar_z,lCollar_parent,lCollar_lShldr,lShldr_x,lShldr_y,lShldr_z,lShldr_parent,lShldr_lForeArm,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rButtock_x,rButtock_y,rButtock_z,rButtock_parent,rButtock_rThigh,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,rShin_x,rShin_y,rShin_z,rShin_parent,rShin_rFoot,rFoot_x,rFoot_y,rFoot_z,rFoot_parent,lButtock_x,lButtock_y,lButtock_z,lButtock_parent,lButtock_lThigh,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,lShin_x,lShin_y,lShin_z,lShin_parent,lShin_lFoot,lFoot_x,lFoot_y,lFoot_z,lFoot_parent,
0,0,0,0,0,2.02497,63.8523,63.8523,0,0,0,2.02497,0.359909,0,0,0,0.359909,14.0707,3.26213,14.0707,0,0,0,3.26213,22.0076,0,0,0,22.0076,0,0,0,0,0,0,0,0,14.0707,96.6539,0,0,0,96.6539,12.2161,0,0,0,12.2161,4.41557,0,0,0,4.41557,0,0,0,14.0707,96.6539,0,0,0,96.6539,12.2161,0,0,0,12.2161,4.41557,0,0,0,4.41557,0,0,0,63.8523,111.594,0,0,0,111.594,53.2633,0,0,0,53.2633,7.66959,0,0,0,7.66959,0,0,0,63.8523,111.594,0,0,0,111.594,53.2633,0,0,0,53.2633,7.66959,0,0,0,7.66959,
1,0,0,0,0,98.9563,64.0163,140.606,0,0,0,98.9563,0.35882,0,0,0,0.35882,14.0707,3.26213,14.0707,0,0,0,3.26213,30.5508,0,0,0,30.5508,0,0,0,0,0,0,0,0,14.0707,96.6539,0,0,0,96.6539,58.0959,0,0,0,58.0959,60.5083,0,0,0,60.5083,0,0,0,14.0707,96.6539,0,0,0,96.6539,57.5691,0,0,0,57.5691,76.2839,0,0,0,76.2839,0,0,0,140.606,111.594,0,0,0,111.594,64.0309,0,0,0,64.0309,30.3573,0,0,0,30.3573,0,0,0,64.0163,111.594,0,0,0,111.594,57.0268,0,0,0,57.0268,39.0173,0,0,0,39.0173,
2,0,0,0,0,99.5549,65.4424,139.756,0,0,0,99.5549,0.359909,0,0,0,0.359909,14.0707,3.26213,14.0707,0,0,0,3.26213,30.786,0,0,0,30.786,0,0,0,0,0,0,0,0,14.0707,96.6539,0,0,0,96.6539,56.8904,0,0,0,56.8904,61.7041,0,0,0,61.7041,0,0,0,14.0707,96.6539,0,0,0,96.6539,63.1518,0,0,0,63.1518,71.0375,0,0,0,71.0375,0,0,0,139.756,111.594,0,0,0,111.594,63.7457,0,0,0,63.7457,29.8379,0,0,0,29.8379,0,0,0,65.4424,111.594,0,0,0,111.594,56.4967,0,0,0,56.4967,37.6485,0,0,0,37.6485,
3,-0.2598,0.4029,0.3077,0,100.129,65.8639,139.928,0,0,0,100.129,0.360994,0,0,0,0.360994,14.0707,3.26225,14.0707,1.1773,1.109,0.372,3.26225,32.4702,0,0,0,32.4702,0,-3.6394,1.9752,-1.2919,0,0,0,0,14.0707,96.6539,5.8286,6.6677,10.1839,96.6539,55.7373,0.3557,7.9159,0.8145,55.7373,62.3848,-1.7949,-0.4667,-0.6362,62.3848,0,0,0,14.0707,96.6539,6.7158,-2.0983,-12.748,96.6539,67.6311,-5.2071,-8.9387,3.6698,67.6311,63.0707,-1.7877,0.4124,0.9317,63.0707,0,0,0,139.928,111.594,0.1383,-0.6384,-0.2009,111.594,62.3003,0.9751,0,0,62.3003,29.3756,0,0,0,29.3756,0,0,0,65.8639,111.594,0.4366,-0.1017,-0.6947,111.594,56.7283,1.2377,0,-1.2379,56.7283,37.1508,0,0,0,37.1508,
4,-0.8635,0.9255,1.0512,0,100.301,66.3417,139.603,0,0,0,100.301,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,4.2871,4.0116,1.3424,3.26219,35.2143,0,0,0,35.2143,0,-13.236,6.8684,-4.6875,0,0,0,0,14.0707,96.6539,21.4956,24.5281,37.0781,96.6539,56.8824,1.5519,28.3525,2.5541,56.8824,62.4599,-6.5115,-1.6964,-2.3301,62.4599,0,0,0,14.0707,96.6539,23.9424,-8.057,-45.7755,96.6539,69.8094,-20.4877,-32.5338,13.1042,69.8094,54.983,-6.6004,1.5522,3.4235,54.983,0,0,0,139.603,111.594,0.3625,-1.6726,-0.579,111.594,60.7832,3.7406,0,0.2638,60.7832,29.5381,0,0,0,29.5381,0,0,0,66.3417,111.594,1.2173,-0.4745,-2.2244,111.594,56.895,5.1642,0,-4.7366,56.895,37.2328,0,0,0,37.2328,
5,-1.2666,0.6145,1.7102,0,100.135,66.8954,138.835,0,0,0,100.135,0.359909,0,0,0,0.359909,14.0707,3.26219,14.0707,7.0436,6.6257,2.1942,3.26219,35.1226,0,0,0,35.1226,0,-22.0484,10.7735,-7.7473,0,0,0,0,14.0707,96.6539,36.3826,41.2888,61.9606,96.6539,58.9631,1.224,46.5664,4.1764,58.9631,62.2143,-10.8418,-2.8096,-3.9109,62.2143,0,0,0,14.0707,96.6539,38.642,-13.9128,-75.7297,96.6539,69.4569,-36.3552,-53.7738,21.7737,69.4569,51.3512,-11.0951,2.6332,5.7602,51.3512,0,0,0,138.835,111.594,0.4475,-1.3833,-0.894,111.594,59.6877,6.6196,0,0.7479,59.6877,30.0214,0,0,0,30.0214,0,0,0,66.8954,111.594,1.4091,-0.8033,-3.3593,111.594,56.5906,9.7946,0,-8.3767,56.5906,37.5141,0,0,0,37.5141,
6,-1.2309,1.1913,1.8833,0,99.8729,66.5534,138.92,0,0,0,99.8729,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,8.0949,7.7637,2.5246,3.26219,31.7983,0,0,0,31.7983,0,-25.942,12.2308,-9.1994,0,0,0,0,14.0707,96.6539,44.159,49.8421,66.4494,96.6539,58.9186,-4.0861,54.0459,2.6003,58.9186,62.5433,-12.375,-3.291,-4.5024,62.5433,0,0,0,14.0707,96.6539,40.2681,-14.833,-87.6601,96.6539,67.0076,-39.1382,-63.455,26.9949,67.0076,50.8869,-12.7417,2.9783,6.6269,50.8869,0,0,0,138.92,111.594,0.6051,-0.1639,-1.1285,111.594,58.2505,7.8658,0,0.9596,58.2505,29.9125,0,0,0,29.9125,0,0,0,66.5534,111.594,1.3437,-0.6973,-4.0009,111.594,56.4377,11.9735,0,-9.8317,56.4377,38.1696,0,0,0,38.1696,
7,-1.0912,3.7914,1.5244,0,99.5603,65.8534,139.327,0,0,0,99.5603,0.360452,0,0,0,0.360452,14.0707,3.26225,14.0707,8.1118,8.1346,2.6072,3.26225,28.9777,0,0,0,28.9777,0,-27.3082,12.8296,-9.757,0,0,0,0,14.0707,96.6539,47.4816,52.9369,57.4895,96.6539,57.1067,-9.0531,57.2405,-1.5382,57.1067,62.7607,-12.2763,-3.4259,-4.4802,62.7607,0,0,0,14.0707,96.6539,35.4747,-12.1416,-88.5747,96.6539,65.21,-32.4989,-68.5603,30.1461,65.21,49.7846,-12.7828,2.8733,6.5831,49.7846,0,0,0,139.327,111.594,0.6605,0.2716,-0.8491,111.594,56.791,7.9428,0,0.9521,56.791,29.2049,0,0,0,29.2049,0,0,0,65.8534,111.594,1.5633,-0.6587,-4.3476,111.594,56.2159,11.6097,0,-9.4093,56.2159,39.0452,0,0,0,39.0452,
8,-1.1612,6.5626,0.8489,0,99.2771,65.6615,139.225,0,0,0,99.2771,0.360452,0,0,0,0.360452,14.0707,3.26231,14.0707,7.2119,7.517,1.9825,3.26231,29.5393,0,0,0,29.5393,0,-27.3449,12.3108,-6.2562,0,0,0,0,14.0707,96.6539,47.1462,49.2755,52.7727,96.6539,55.3323,-9.298,60.5055,-1.1146,55.3323,62.2714,-11.9292,-3.2778,-4.3004,62.2714,0,0,0,14.0707,96.6539,35.0071,-9.6666,-87.091,96.6539,64.9784,-31.0904,-69.169,29.6548,64.9784,48.7931,-12.565,2.7089,6.3359,48.7931,0,0,0,139.225,111.594,0.3697,-0.1607,-0.2124,111.594,55.5847,8.7931,0,1.6601,55.5847,28.6384,0,0,0,28.6384,0,0,0,65.6615,111.594,1.3859,-1.1202,-4.0804,111.594,55.7244,11.9887,0,-8.278,55.7244,39.6645,0,0,0,39.6645,
9,-1.4987,7.8307,0.3342,0,99.2953,65.8662,139.029,0,0,0,99.2953,0.359909,0,0,0,0.359909,14.0707,3.26219,14.0707,6.0915,5.9985,0.4128,3.26219,32.936,0,0,0,32.936,0,-26.9048,11.1688,2.5366,0,0,0,0,14.0707,96.6539,47.3465,44.854,52.4522,96.6539,54.8275,-9.7642,63.3208,1.8959,54.8275,62.108,-11.7265,-3.0174,-4.1725,62.108,0,0,0,14.0707,96.6539,36.6721,-7.8671,-88.788,96.6539,65.3278,-34.6504,-66.6161,27.6907,65.3278,47.2235,-12.4987,2.6236,6.1827,47.2235,0,0,0,139.029,111.594,0.1136,-0.6726,-0.1126,111.594,54.5084,10.9999,0,2.9501,54.5084,28.7526,0,0,0,28.7526,0,0,0,65.8662,111.594,0.5124,-2.1461,-3.8098,111.594,55.4788,14.8049,0,-7.6239,55.4788,39.7801,0,0,0,39.7801,
