frame,hip_x,hip_y,hip_z,hip_parent,
0,19.67,-4.7957,-14.2253,0,
1,19.5617,-4.7693,-14.1469,0,
2,19.5429,-4.7647,-14.1334,0,
3,18.622,-3.1288,-13.2091,0,
4,16.229,1.2242,-10.8156,0,
5,13.5423,5.3678,-8.5269,0,
6,12.1043,7,-7.6852,0,
7,12.7292,6.8339,-8.0138,0,
8,14.0352,6.1729,-8.4595,0,
9,14.2632,5.9944,-8.3429,0,
10,14.1712,6.2818,-8.2273,0,
11,15.0531,6.0757,-8.8268,0,
12,16.0271,5.4321,-9.6487,0,
13,16.6492,5.0673,-10.1092,0,
14,17.6543,4.5066,-9.9565,0,
15,18.3387,3.9857,-9.0487,0,
16,18.6564,3.5502,-7.7821,0,
17,19.7179,2.8064,-6.565,0,
18,20.8817,2.5141,-5.8672,0,
19,21.2004,2.1204,-6.1492,0,
20,21.3789,1.062,-6.7384,0,
21,21.3727,0.5583,-7.0529,0,
22,21.0649,0.4957,-7.2253,0,
23,21.5931,-0.2113,-7.0637,0,
24,21.7688,-1.2168,-6.9877,0,
25,20.3169,-1.8576,-7.4855,0,
26,18.9288,-1.9239,-7.9739,0,
27,18.5154,-2.0008,-7.9981,0,
28,18.3616,-2.4419,-7.8025,0,
29,15.7355,-1.2089,-6.8314,0,
30,11.4896,0.9132,-5.818,0,
31,10.8183,1.3652,-5.9559,0,
32,12.5246,1.7504,-6.1805,0,
33,13.2244,2.6871,-7.1443,0,
34,14.154,4.0412,-8.9252,0,
35,15.5602,6.0851,-9.5363,0,
36,15.3598,7.1976,-9.4578,0,
