frame,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,
0,-27.9706,-61.0116,23.3845,61.2292,73.3518,-10.0289,2.1994,5.5821,73.3518,-32.7724,72.772,-22.9551,44.5461,85.6035,-10.6004,-3.0571,-3.965,85.6035,
1,-27.8166,-60.6756,23.2558,60.8781,72.9121,-9.9737,2.1873,5.5513,72.9121,-32.592,72.3713,-22.8287,44.1927,85.0916,-10.542,-3.0403,-3.9432,85.0916,
2,-27.7899,-60.6175,23.2335,60.8174,72.8361,-9.9642,2.1852,5.546,72.8361,-32.5607,72.302,-22.8068,44.1316,85.0031,-10.5319,-3.0374,-3.9394,85.0031,
3,-28.5762,-63.79,26.3817,63.7303,77.9223,-9.9072,2.1609,5.5398,77.9223,-29.9101,74.416,-20.5553,46.5805,84.7141,-10.7761,-3.0532,-3.9475,84.7141,
4,-30.4964,-71.6961,33.7345,67.48,90.0932,-9.6094,2.0643,5.5996,90.0932,-22.882,79.4326,-14.8275,53.4028,84.3567,-11.8513,-3.3212,-4.0126,84.3567,
5,-32.5248,-78.7555,39.9214,67.9756,100.529,-9.465,1.9335,5.7124,100.529,-15.7631,82.7051,-10.6761,61.1846,84.0987,-12.248,-3.6698,-4.089,84.0987,
6,-33.3311,-82.2415,43.3641,68.3731,105.57,-9.7141,1.8695,5.7797,105.57,-12.4736,82.7365,-10.3423,65.6889,83.2583,-10.8233,-3.7171,-4.1114,83.2583,
7,-32.6154,-84.2874,45.6071,68.2536,107.738,-9.7463,1.8769,5.7973,107.738,-11.7075,83.1852,-9.9268,66.0968,83.4171,-9.719,-3.6556,-4.1231,83.4171,
8,-30.436,-83.3497,44.3933,67.3827,105.026,-9.5623,1.8863,5.7631,105.026,-10.864,84.31,-8.7821,64.8415,84.0747,-9.9475,-3.6151,-4.1168,84.0747,
9,-26.9617,-79.1526,40.0804,69.4066,97.596,-9.3224,1.8971,5.7141,97.596,-10.7837,84.4198,-9.0224,63.9663,84.2154,-10.9865,-3.5857,-4.0957,84.2154,
10,-25.6059,-77.2165,38.3558,73.9523,94.4357,-9.1248,1.9465,5.699,94.4357,-12.0698,84.7921,-9.9622,63.2445,85.0716,-11.9015,-3.4963,-4.1001,85.0716,
11,-26.8831,-78.0193,39.4503,78.6291,96.3593,-9.4872,2.0383,5.809,96.3593,-13.4435,85.8038,-9.7057,62.2797,86.3074,-12.1395,-3.3895,-4.1756,86.3074,
12,-26.6802,-77.6138,39.3399,81.8135,95.8651,-9.9348,2.0981,5.9713,95.8651,-14.2249,85.6263,-8.6974,61.419,86.0456,-12.0533,-3.4408,-4.2767,86.0456,
13,-23.6263,-73.6814,35.5531,82.3854,89.1032,-9.4743,2.0586,6.0075,89.1032,-16.4328,82.5573,-9.3414,60.1205,83.7001,-10.9701,-3.4712,-4.2946,83.7001,
14,-19.8937,-66.2311,28.0556,80.9543,77.2423,-8.0634,1.9789,5.944,77.2423,-21.9708,76.868,-9.7931,57.5497,79.5132,-8.5516,-3.2003,-4.2309,79.5132,
15,-17.4304,-60.5378,22.3801,79.6344,68.3921,-6.6313,1.9488,5.916,68.3921,-26.3834,71.9811,-6.0887,54.788,73.8505,-6.3855,-2.8124,-4.1807,73.8505,
16,-15.9952,-60.0588,21.2157,78.2019,66.856,-5.6384,1.9771,5.8611,66.856,-28.0858,68.6812,-2.1735,54.0262,68.847,-5.4764,-2.5724,-4.1434,68.847,
17,-15.4489,-62.2427,21.0315,74.2638,68.5286,-4.5731,1.9201,5.6002,68.5286,-31.5606,65.2536,-1.6891,56.6077,65.4882,-5.2819,-2.4269,-4.015,65.4882,
18,-14.7922,-63.7608,19.8595,68.0675,69.1508,-4.9283,1.813,5.2923,69.1508,-36.4043,61.4757,-1.9962,59.3124,62.3207,-5.303,-2.3473,-3.814,62.3207,
19,-13.437,-63.401,18.4894,62.8668,67.7771,-7.7852,1.8596,5.1572,67.7771,-37.3348,61.4728,-4.1097,55.8579,63.7659,-5.4372,-2.3612,-3.6682,63.7659,
20,-12.3438,-63.0554,18.1737,60.3051,66.956,-10.5936,1.997,5.1787,66.956,-33.7131,68.5707,-10.1128,50.1305,74.0105,-5.5769,-2.4037,-3.6597,74.0105,
21,-12.0631,-63.6695,18.2984,59.1322,67.4692,-11.7263,2.1516,5.2705,67.4692,-32.6839,72.8272,-14.5169,52.9025,80.5642,-5.5809,-2.4027,-3.7431,80.5642,
22,-12.1797,-63.4837,17.6368,58.6913,67.0911,-10.5201,2.1985,5.283,67.0911,-36.3785,70.795,-15.1385,52.4509,79.9412,-5.2932,-2.3261,-3.7954,79.9412,
23,-12.1476,-63.9694,17.6357,59.4079,67.5279,-6.9048,1.9428,5.1114,67.5279,-39.053,71.9399,-17.6405,51.9777,83.4097,-4.5794,-2.1864,-3.7587,83.4097,
24,-11.9005,-66.3052,18.6476,60.9473,69.9591,-4.075,1.6087,4.884,69.9591,-37.9021,73.5839,-19.2818,52.126,85.744,-3.8321,-2.091,-3.6887,85.744,
25,-11.181,-67.4943,18.9802,62.1942,70.9055,-3.5364,1.4572,4.7516,70.9055,-34.3524,68.8816,-18.8051,50.2979,79.9123,-3.5277,-2.0831,-3.6378,79.9123,
26,-10.1824,-67.7809,18.7972,62.5922,70.744,-4.7816,1.5669,4.8108,70.744,-31.4169,64.0339,-19.9366,49.8694,75.1651,-3.791,-2.1505,-3.6813,75.1651,
27,-9.2323,-69.1131,18.9194,62.9891,71.6556,-6.4625,1.812,5.0105,71.6556,-29.6013,66.8919,-18.3731,53.249,76.3172,-4.4175,-2.2629,-3.7767,76.3172,
28,-9.2917,-70.7147,19.6805,65.7588,73.368,-5.4712,1.8579,5.0763,73.368,-27.2175,71.5643,-15.5549,60.7985,78.452,-4.9108,-2.3299,-3.7669,78.452,
29,-9.6114,-71.4465,20.0348,69.9381,74.2617,-2.8571,1.7484,4.9568,74.2617,-23.7659,70.1555,-14.3611,68.9339,75.5339,-5.082,-2.3329,-3.7151,75.5339,
30,-8.1086,-71.2005,18.4234,71.8016,73.023,-2.4614,1.7808,5.0094,73.023,-21.6766,66.1449,-12.4712,72.0465,70.2428,-5.1278,-2.3457,-3.7789,70.2428,
31,-9.9159,-75.1616,20.7889,73.0665,77.9766,-5.156,2.1085,5.4615,77.9766,-26.061,69.4591,-14.6965,69.1545,75.6696,-6.2423,-2.5191,-3.997,75.6696,
32,-16.7921,-80.3351,27.0276,75.7739,87.5605,-8.7335,2.6497,5.9761,87.5605,-34.539,79.8539,-21.2573,65.0623,91.7992,-9.3113,-3.0045,-4.2273,91.7992,
33,-19.4079,-71.3652,25.2247,79.4382,80.167,-11.8782,4.2718,6.3512,80.167,-39.1666,83.9497,-24.4862,64.5689,99.2449,-13.9081,-4.2297,-4.4218,99.2449,
34,-18.0355,-58.6491,20.3813,76.4015,65.9294,-14.6591,7.4261,6.7536,65.9294,-39.6228,80.67,-24.301,63.9906,96.2567,-18.7246,-6.11,-4.6633,96.2567,
35,-17.9017,-59.0477,20.6251,64.4463,66.3633,-15.5298,9.871,7.1272,66.3633,-39.4589,80.4288,-24.1001,65.8666,95.8431,-20.1292,-7.0842,-4.8543,95.8431,
36,-17.6983,-60.0066,19.8682,69.5505,66.7871,-14.0956,10.3394,7.3152,66.7871,-38.9258,83.3427,-25.0256,69.1347,98.9294,-16.9132,-6.3398,-4.8997,98.9294,
