frame,lShin_x,lShin_y,lShin_z,lShin_parent,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,rShin_x,rShin_y,rShin_z,rShin_parent,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,
0,17.5005,-0.2557,3.7732,63.205,-9.7608,2.1406,5.5087,111.594,63.205,26.0044,1.6361,-3.0842,68.2035,-11.6876,-3.3654,-24.0162,111.594,68.2035,
1,17.4041,-0.2543,3.7524,63.1494,-9.7071,2.1288,5.4783,111.594,63.1494,25.8612,1.6271,-3.0672,68.1067,-11.6233,-3.3469,-23.8839,111.594,68.1067,
2,17.3875,-0.2541,3.7489,63.1398,-9.6978,2.1268,5.4731,111.594,63.1398,25.8365,1.6256,-3.0643,68.09,-11.6121,-3.3436,-23.8611,111.594,68.09,
3,16.4729,-0.2148,2.9632,64.8316,-11.3581,1.5995,6.005,111.594,64.8316,26.3117,1.3743,-2.8727,69.1926,-13.4269,-1.9711,-21.232,111.594,69.1926,
4,14.2968,-0.1116,0.9027,69.5663,-15.9904,0.036,7.5647,111.594,69.5663,27.5952,0.714,-2.284,72.3409,-18.0086,1.3752,-14.2327,111.594,72.3409,
5,12.8871,-0.0176,-1.0491,73.5029,-19.8174,-1.2098,9.028,111.594,73.5029,28.7032,0.1124,-1.7735,74.591,-21.0085,3.0799,-7.964,111.594,74.591,
6,13.4879,0.0159,-2.0992,74.2508,-20.5272,-1.3132,9.4693,111.594,74.2508,29.0883,-0.1019,-1.8391,74.5525,-21.1221,1.9855,-5.7546,111.594,74.5525,
7,14.8953,0.0141,-2.6595,74.7817,-21.0458,-1.3841,9.6261,111.594,74.7817,29.9036,-0.0902,-2.2173,75.9963,-22.6073,2.0503,-5.0468,111.594,75.9963,
8,15.8966,0.0049,-2.9499,75.7537,-21.9992,-1.782,9.8812,111.594,75.7537,31.1555,-0.0315,-2.9784,78.6534,-25.313,3.9103,-4.1251,111.594,78.6534,
9,17.3209,-0.0003,-3.9846,75.3118,-21.599,-1.4548,9.4217,111.594,75.3118,32.18,0.0022,-4.4995,79.736,-26.4253,4.9586,-3.383,111.594,79.736,
10,19.2806,-0.0014,-5.3893,73.9931,-20.3579,-0.4217,8.481,111.594,73.9931,33.2135,0.0089,-5.7322,79.8245,-26.5301,4.9998,-2.8251,111.594,79.8245,
11,20.3195,-0.0008,-5.021,73.9861,-20.355,-0.7694,8.4423,111.594,73.9861,33.385,0.005,-5.9996,80.3882,-27.1104,4.9614,-2.0919,111.594,80.3882,
12,20.853,-0.0002,-3.3876,75.6186,-21.9428,-2.6307,9.0787,111.594,75.6186,32.6211,0.001,-6.2357,81.1376,-27.8707,4.9668,-1.4069,111.594,81.1376,
13,21.8635,0,-2.1872,77.9281,-24.2247,-4.8149,9.5844,111.594,77.9281,31.7845,-0.0006,-6.492,81.684,-28.4219,5.1228,-0.9676,111.594,81.684,
14,22.2462,0,-1.6362,80.0164,-26.3391,-6.8714,9.5144,111.594,80.0164,30.9167,-0.0006,-6.6657,82.3967,-29.1342,5.7034,-1.1539,111.594,82.3967,
15,21.5489,0,-1.2,81.0684,-27.4695,-7.582,8.6969,111.594,81.0684,30.5588,-0.0002,-7.1517,82.8582,-29.5824,6.2425,-2.1854,111.594,82.8582,
16,21.2788,0,-1.0347,81.638,-28.0961,-6.5351,7.9328,111.594,81.638,30.4586,0,-7.9518,82.8124,-29.5066,6.5677,-3.4354,111.594,82.8124,
17,21.06,0,-1.7213,82.3493,-28.8351,-5.4529,7.5243,111.594,82.3493,30.0025,0,-8.626,82.805,-29.4696,7.5363,-4.3741,111.594,82.805,
18,20.2791,0,-2.2888,82.8419,-29.3613,-5.6236,7.0528,111.594,82.8419,29.6873,0,-8.7059,83.0099,-29.662,8.3263,-4.7611,111.594,83.0099,
19,19.9811,0,-1.9126,83.2118,-29.7451,-6.1822,6.882,111.594,83.2118,29.3296,0,-8.2123,83.4216,-30.0894,7.7998,-4.3351,111.594,83.4216,
20,19.8536,0,-1.551,83.6399,-30.1616,-6.2036,7.085,111.594,83.6399,28.8585,0,-7.5023,84.0741,-30.743,7.1549,-4.2638,111.594,84.0741,
