frame,hip_x,hip_y,hip_z,hip_parent,hip_abdomen,hip_lButtock,hip_rButtock,abdomen_x,abdomen_y,abdomen_z,abdomen_parent,abdomen_chest,chest_x,chest_y,chest_z,chest_parent,chest_lCollar,chest_neck,chest_rCollar,neck_x,neck_y,neck_z,neck_parent,neck_neck1,neck1_x,neck1_y,neck1_z,neck1_parent,neck1_head,head_x,head_y,head_z,head_parent,rCollar_x,rCollar_y,rCollar_z,rCollar_parent,rCollar_rShldr,rShldr_x,rShldr_y,rShldr_z,rShldr_parent,rShldr_rForeArm,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,lCollar_x,lCollar_y,lCollar_z,lCollar_parent,lCollar_lShldr,lShldr_x,lShldr_y,lShldr_z,lShldr_parent,lShldr_lForeArm,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rButtock_x,rButtock_y,rButtock_z,rButtock_parent,rButtock_rThigh,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,rShin_x,rShin_y,rShin_z,rShin_parent,rShin_rFoot,rFoot_x,rFoot_y,rFoot_z,rFoot_parent,lButtock_x,lButtock_y,lButtock_z,lButtock_parent,lButtock_lThigh,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,lShin_x,lShin_y,lShin_z,lShin_parent,lShin_lFoot,lFoot_x,lFoot_y,lFoot_z,lFoot_parent,
0,19.67,-4.7957,-14.2253,0,120.297,108.833,110.922,0,0,0,120.297,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,5.5864,7.1131,-0.8605,3.26219,27.6192,0,0,0,27.6192,0,-23.3269,14.5055,6.8181,0,0,0,0,14.0707,96.6539,29.2712,40.2002,27.0182,96.6539,44.5461,-32.7724,72.772,-22.9551,44.5461,85.6035,-10.6004,-3.0571,-3.965,85.6035,0,0,0,14.0707,96.6539,21.6903,8.7186,-70.9944,96.6539,61.2292,-27.9706,-61.0116,23.3845,61.2292,73.3518,-10.0289,2.1994,5.5821,73.3518,0,0,0,110.922,111.594,-11.6876,-3.3654,-24.0162,111.594,68.2035,26.0044,1.6361,-3.0842,68.2035,33.7039,-16.2037,-15.9487,-4.7285,33.7039,0,0,0,108.833,111.594,-9.7608,2.1406,5.5087,111.594,63.205,17.5005,-0.2557,3.7732,63.205,25.2619,-14.87,11.5963,15.9285,25.2619,
1,19.5617,-4.7693,-14.1469,0,120.196,108.792,110.897,0,0,0,120.196,0.360452,0,0,0,0.360452,14.0707,3.26231,14.0707,5.5557,7.074,-0.8558,3.26231,27.5883,0,0,0,27.5883,0,-23.1985,14.4257,6.7805,0,0,0,0,14.0707,96.6539,29.1101,39.9788,26.8694,96.6539,44.1927,-32.592,72.3713,-22.8287,44.1927,85.0916,-10.542,-3.0403,-3.9432,85.0916,0,0,0,14.0707,96.6539,21.5709,8.6706,-70.6035,96.6539,60.8781,-27.8166,-60.6756,23.2558,60.8781,72.9121,-9.9737,2.1873,5.5513,72.9121,0,0,0,110.897,111.594,-11.6233,-3.3469,-23.8839,111.594,68.1067,25.8612,1.6271,-3.0672,68.1067,33.56,-16.1144,-15.8609,-4.7025,33.56,0,0,0,108.792,111.594,-9.7071,2.1288,5.4783,111.594,63.1494,17.4041,-0.2543,3.7524,63.1494,25.164,-14.7881,11.5324,15.8407,25.164,
2,19.5429,-4.7647,-14.1334,0,120.179,108.785,110.893,0,0,0,120.179,0.360994,0,0,0,0.360994,14.0707,3.26219,14.0707,5.5504,7.0672,-0.8549,3.26219,27.583,0,0,0,27.583,0,-23.1762,14.4119,6.774,0,0,0,0,14.0707,96.6539,29.0822,39.9405,26.8437,96.6539,44.1316,-32.5607,72.302,-22.8068,44.1316,85.0031,-10.5319,-3.0374,-3.9394,85.0031,0,0,0,14.0707,96.6539,21.5502,8.6622,-70.5359,96.6539,60.8174,-27.7899,-60.6175,23.2335,60.8174,72.8361,-9.9642,2.1852,5.546,72.8361,0,0,0,110.893,111.594,-11.6121,-3.3436,-23.8611,111.594,68.09,25.8365,1.6256,-3.0643,68.09,33.5351,-16.099,-15.8457,-4.698,33.5351,0,0,0,108.785,111.594,-9.6978,2.1268,5.4731,111.594,63.1398,17.3875,-0.2541,3.7489,63.1398,25.1472,-14.7739,11.5214,15.8256,25.1472,
3,18.622,-3.1288,-13.2091,0,119.378,107.241,111.923,0,0,0,119.378,0.359365,0,0,0,0.359365,14.0707,3.26213,14.0707,5.716,7.1665,-0.7423,3.26213,27.7356,0,0,0,27.7356,0,-23.2188,14.8131,7.0982,0,0,0,0,14.0707,96.6539,31.1963,42.0616,26.8429,96.6539,46.5805,-29.9101,74.416,-20.5553,46.5805,84.7141,-10.7761,-3.0532,-3.9475,84.7141,0,0,0,14.0707,96.6539,21.8748,11.8065,-73.9842,96.6539,63.7303,-28.5762,-63.79,26.3817,63.7303,77.9223,-9.9072,2.1609,5.5398,77.9223,0,0,0,111.923,111.594,-13.4269,-1.9711,-21.232,111.594,69.1926,26.3117,1.3743,-2.8727,69.1926,33.9931,-15.1613,-13.3966,-4.6894,33.9931,0,0,0,107.241,111.594,-11.3581,1.5995,6.005,111.594,64.8316,16.4729,-0.2148,2.9632,64.8316,24.1651,-14.0411,9.7407,15.8222,24.1651,
4,16.229,1.2242,-10.8156,0,117.303,103.228,114.611,0,0,0,117.303,0.360452,0,0,0,0.360452,14.0707,3.26225,14.0707,6.184,7.4882,-0.4363,3.26225,28.1689,0,0,0,28.1689,0,-23.4252,16.1733,7.5649,0,0,0,0,14.0707,96.6539,36.9626,47.9136,26.8215,96.6539,53.4028,-22.882,79.4326,-14.8275,53.4028,84.3567,-11.8513,-3.3212,-4.0126,84.3567,0,0,0,14.0707,96.6539,26.5344,15.424,-79.6225,96.6539,67.48,-30.4964,-71.6961,33.7345,67.48,90.0932,-9.6094,2.0643,5.5996,90.0932,0,0,0,114.611,111.594,-18.0086,1.3752,-14.2327,111.594,72.3409,27.5952,0.714,-2.284,72.3409,35.2363,-12.6844,-6.9599,-4.6477,35.2363,0,0,0,103.228,111.594,-15.9904,0.036,7.5647,111.594,69.5663,14.2968,-0.1116,0.9027,69.5663,21.9102,-12.1024,5.0606,15.8024,21.9102,
5,13.5423,5.3678,-8.5269,0,115.041,99.5155,116.85,0,0,0,115.041,0.359909,0,0,0,0.359909,14.0707,3.26225,14.0707,6.7184,7.857,-0.2207,3.26225,28.6769,0,0,0,28.6769,0,-23.7734,17.3601,8.0786,0,0,0,0,14.0707,96.6539,43.3094,54.5111,26.8159,96.6539,61.1846,-15.7631,82.7051,-10.6761,61.1846,84.0987,-12.248,-3.6698,-4.089,84.0987,0,0,0,14.0707,96.6539,33.3303,15.1935,-81.9523,96.6539,67.9756,-32.5248,-78.7555,39.9214,67.9756,100.529,-9.465,1.9335,5.7124,100.529,0,0,0,116.85,111.594,-21.0085,3.0799,-7.964,111.594,74.591,28.7032,0.1124,-1.7735,74.591,36.3194,-10.424,-1.0959,-4.6068,36.3194,0,0,0,99.5155,111.594,-19.8174,-1.2098,9.028,111.594,73.5029,12.8871,-0.0176,-1.0491,73.5029,20.5952,-10.3324,0.7968,15.795,20.5952,
6,12.1043,7,-7.6852,0,113.989,98.2455,117.402,0,0,0,113.989,0.359909,0,0,0,0.359909,14.0707,3.26213,14.0707,7.1702,7.9355,-0.2243,3.26213,29.1261,0,0,0,29.1261,0,-24.3346,17.085,8.9754,0,0,0,0,14.0707,96.6539,46.6869,58.362,26.8281,96.6539,65.6889,-12.4736,82.7365,-10.3423,65.6889,83.2583,-10.8233,-3.7171,-4.1114,83.2583,0,0,0,14.0707,96.6539,34.614,17.889,-83.6433,96.6539,68.3731,-33.3311,-82.2415,43.3641,68.3731,105.57,-9.7141,1.8695,5.7797,105.57,0,0,0,117.402,111.594,-21.1221,1.9855,-5.7546,111.594,74.5525,29.0883,-0.1019,-1.8391,74.5525,36.7011,-9.6176,0.9935,-4.6097,36.7011,0,0,0,98.2455,111.594,-20.5272,-1.3132,9.4693,111.594,74.2508,13.4879,0.0159,-2.0992,74.2508,21.3146,-9.7007,-0.7224,15.8011,21.3146,
7,12.7292,6.8339,-8.0138,0,114.766,98.9374,117.252,0,0,0,114.766,0.359909,0,0,0,0.359909,14.0707,3.26225,14.0707,7.4771,7.8441,-0.1577,3.26225,29.4277,0,0,0,29.4277,0,-25.0578,16.7132,9.4345,0,0,0,0,14.0707,96.6539,46.288,58.9074,26.8294,96.6539,66.0968,-11.7075,83.1852,-9.9268,66.0968,83.4171,-9.719,-3.6556,-4.1231,83.4171,0,0,0,14.0707,96.6539,33.8616,22.0515,-84.5776,96.6539,68.2536,-32.6154,-84.2874,45.6071,68.2536,107.738,-9.7463,1.8769,5.7973,107.738,0,0,0,117.252,111.594,-22.6073,2.0503,-5.0468,111.594,75.9963,29.9036,-0.0902,-2.2173,75.9963,37.5237,-9.3762,0.8797,-4.6135,37.5237,0,0,0,98.9374,111.594,-21.0458,-1.3841,9.6261,111.594,74.7817,14.8953,0.0141,-2.6595,74.7817,22.7878,-9.5116,-0.6396,15.7975,22.7878,
8,14.0352,6.1729,-8.4595,0,115.992,100.168,116.858,0,0,0,115.992,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,7.722,7.9073,0.0573,3.26219,29.6536,0,0,0,29.6536,0,-25.2544,17.2705,9.5396,0,0,0,0,14.0707,96.6539,44.8129,57.9913,26.8241,96.6539,64.8415,-10.864,84.31,-8.7821,64.8415,84.0747,-9.9475,-3.6151,-4.1168,84.0747,0,0,0,14.0707,96.6539,35.2514,21.4139,-83.9537,96.6539,67.3827,-30.436,-83.3497,44.3933,67.3827,105.026,-9.5623,1.8863,5.7631,105.026,0,0,0,116.858,111.594,-25.313,3.9103,-4.1251,111.594,78.6534,31.1555,-0.0315,-2.9784,78.6534,38.7995,-8.9513,0.3067,-4.5984,38.7995,0,0,0,100.168,111.594,-21.9992,-1.782,9.8812,111.594,75.7537,15.8966,0.0049,-2.9499,75.7537,23.821,-9.1789,-0.223,15.7928,23.821,
9,14.2632,5.9944,-8.3429,0,116.019,100.62,116.406,0,0,0,116.019,0.360994,0,0,0,0.360994,14.0707,3.26225,14.0707,7.6704,7.9774,0.3591,3.26225,29.5791,0,0,0,29.5791,0,-24.6639,16.6164,8.9079,0,0,0,0,14.0707,96.6539,44.9344,57.256,26.5585,96.6539,63.9663,-10.7837,84.4198,-9.0224,63.9663,84.2154,-10.9865,-3.5857,-4.0957,84.2154,0,0,0,14.0707,96.6539,36.9313,18.7339,-85.8278,96.6539,69.4066,-26.9617,-79.1526,40.0804,69.4066,97.596,-9.3224,1.8971,5.7141,97.596,0,0,0,116.406,111.594,-26.4253,4.9586,-3.383,111.594,79.736,32.18,0.0022,-4.4995,79.736,39.9054,-8.712,-0.0213,-4.5971,39.9054,0,0,0,100.62,111.594,-21.599,-1.4548,9.4217,111.594,75.3118,17.3209,-0.0003,-3.9846,75.3118,25.3997,-8.9915,0.0155,15.7955,25.3997,
