frame,hip_x,hip_y,hip_z,hip_parent,
0,0.5698,92.7853,14.2309,0,
1,0.5667,92.2744,14.1526,0,
2,0.5661,92.186,14.139,0,
3,2.0911,90.7205,14.1481,0,
4,5.944,89.6593,14.1523,0,
5,9.1343,91.9977,13.3129,0,
6,10.9204,92.019,11.0576,0,
7,14.1152,87.5892,9.6693,0,
8,18.0784,84.532,10.4763,0,
9,19.4868,83.4455,11.1653,0,
10,18.3571,81.0975,10.7435,0,
11,16.985,78.0431,10.4581,0,
12,16.5207,75.9802,11.1713,0,
13,16.5593,73.9207,12.4212,0,
14,16.2223,71.5505,12.7578,0,
15,15.9391,69.5782,12.2297,0,
16,15.9084,67.4916,12.2353,0,
17,16.114,64.5732,13.2954,0,
18,17.0181,61.6785,14.6051,0,
19,18.0541,60.0559,14.8953,0,
20,19.1976,58.504,14.3733,0,
21,20.9144,56.2599,14.1003,0,
22,22.3114,55.0728,13.8945,0,
23,22.1313,56.7015,13.0726,0,
24,20.8331,59.9934,11.8484,0,
25,20.4581,60.9179,11.1254,0,
26,21.2538,59.5172,11.221,0,
27,22.252,59.9813,11.6853,0,
28,22.5863,62.357,11.8313,0,
29,22.2933,63.6563,11.8179,0,
30,22.827,64.2139,12.3665,0,
31,23.679,65.5141,13.0454,0,
32,23.8583,66.7307,13.3742,0,
33,24.2755,67.7248,13.8964,0,
34,25.7477,69.6718,15.2867,0,
