frame,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,
0,-18.3118,-50.5542,21.9516,48.6267,59.6538,-3.4637,3.1429,2.6816,59.6538,-11.7941,46.3347,-23.1152,57.1057,54.2603,-6.0734,-3.6901,-3.2154,54.2603,
1,-18.211,-50.2758,21.8307,48.3014,59.3036,-3.4446,3.1256,2.6668,59.3036,-11.7292,46.0795,-22.9879,56.7555,53.9513,-6.0399,-3.6698,-3.1977,53.9513,
2,-18.1936,-50.2277,21.8098,48.2451,59.2431,-3.4413,3.1226,2.6643,59.2431,-11.7179,46.0354,-22.9659,56.6948,53.8979,-6.0341,-3.6663,-3.1946,53.8979,
3,-16.892,-49.466,20.5105,46.004,57.3771,-3.4439,3.1249,2.681,57.3771,-12.1629,46.715,-23.0053,57.2306,54.6602,-6.0123,-3.6659,-3.202,54.6602,
4,-12.9713,-48.809,16.5906,39.9745,53.4587,-3.4462,3.1271,2.6899,53.4587,-12.8734,47.7747,-23.0486,58.4558,55.8505,-5.9592,-3.6571,-3.2103,55.8505,
5,-9.6024,-50.0063,13.2205,36.8022,52.1026,-4.4482,3.1279,2.6737,52.1026,-12.9013,47.8045,-23.0412,58.4984,55.8824,-5.9304,-3.6445,-3.2096,55.8824,
6,-10.7583,-50.6629,14.1462,33.3959,53.4068,-6.9543,3.1278,2.6825,53.4068,-14.8887,49.6104,-24.7139,56.1336,59.1159,-5.9289,-3.6442,-3.2108,59.1159,
7,-14.0044,-50.7837,17.0207,28.9643,55.7819,-9.4866,3.1276,2.7854,55.7819,-22.0388,57.1899,-28.7185,57.2922,70.8433,-5.9338,-3.6688,-3.227,70.8433,
8,-16.3367,-53.9352,19.3358,28.8796,60.5506,-11.4414,3.1275,3.0286,60.5506,-29.7924,68.3454,-32.46,65.8651,86.1383,-6.1893,-3.7293,-3.2556,86.1383,
9,-18.7538,-56.7284,21.6115,28.3531,65.0985,-12.4419,3.1275,3.3226,65.0985,-33.0725,76.3409,-35.0723,70.8816,96.1121,-6.7008,-3.8059,-3.286,96.1121,
10,-19.7801,-55.2293,22.3205,27.2952,64.5277,-10.8021,3.1275,3.5315,64.5277,-32.2581,79.3591,-36.8101,70.1463,99.1778,-6.8619,-3.8469,-3.3132,99.1778,
11,-17.3265,-52.4453,20.1084,30.4075,59.9569,-7.6748,3.1275,3.6218,59.9569,-26.9283,82.9242,-37.1671,66.9475,99.2195,-6.5357,-3.8331,-3.3331,99.2195,
12,-12.7901,-48.9038,15.7691,35.098,53.0978,-6.5424,3.1275,3.6592,53.0978,-15.6348,88.6564,-36.6049,61.456,96.6464,-6.1842,-3.785,-3.3479,96.6464,
13,-8.1937,-43.6404,10.9732,37.9848,44.9163,-7.3392,3.1275,3.5189,44.9163,-1.4685,95.9162,-37.9603,56.3112,93.1259,-5.9848,-3.7011,-3.3375,93.1259,
14,-6.8521,-39.7762,9.0091,38.7041,40.2364,-8.1056,3.1275,3.0709,40.2364,8.0384,101.064,-40.2345,52.007,90.2939,-5.8466,-3.5847,-3.2806,90.2939,
15,-9.2877,-37.0083,8.1386,34.3181,37.764,-8.1446,2.8664,2.9612,37.764,7.9356,90.4491,-35.6068,44.4349,83.0306,-5.5974,-3.2982,-3.2819,83.0306,
16,-9.6371,-31.961,3.1295,27.1786,31.0219,-7.6363,2.1798,3.6328,31.0219,-0.5295,64.4018,-24.4286,38.8969,65.3518,-5.1802,-2.7418,-3.4251,65.3518,
17,-8.343,-26.9834,-2.0843,24.9363,24.5245,-6.6628,1.5217,4.3587,24.5245,-6.7341,52.7024,-19.9632,45.0665,56.3134,-4.7665,-2.2508,-3.5267,56.3134,
18,-9.1079,-24.7742,-3.6271,27.108,22.0472,-5.2443,1.2502,4.6315,22.0472,-6.8145,62.1198,-25.1305,42.8688,66.4758,-4.5894,-2.0755,-3.5069,66.4758,
19,-9.1191,-22.8856,-4.0156,28.6231,20.1002,-4.5549,1.2848,4.7114,20.1002,-10.7209,63.9361,-27.5081,45.3124,70.7375,-4.7992,-2.0954,-3.5566,70.7375,
20,-8.6908,-21.7671,-3.2846,29.6513,19.0947,-5.2298,1.4287,4.8059,19.0947,-19.9104,55.3023,-24.8,53.147,66.043,-5.1999,-2.1746,-3.686,66.043,
