frame,lShin_x,lShin_y,lShin_z,lShin_parent,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,rShin_x,rShin_y,rShin_z,rShin_parent,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,
0,21.6821,-1.0071,3.7022,61.7423,-8.4773,0.1206,0.5293,111.594,61.7423,33.2307,30.733,-101.059,58.0317,-4.5736,3.5193,5.5275,111.594,58.0317,
1,21.5627,-1.0015,3.6819,61.6957,-8.4307,0.12,0.5263,111.594,61.6957,33.0477,30.5638,-100.502,58.0044,-4.5484,3.5,5.497,111.594,58.0044,
2,21.5421,-1.0006,3.6783,61.6876,-8.4226,0.1198,0.5258,111.594,61.6876,33.0161,30.5345,-100.406,57.9997,-4.544,3.4966,5.4918,111.594,57.9997,
3,20.5035,-0.8459,4.166,62.5332,-9.2682,0.1199,0.5262,111.594,62.5332,32.278,25.8152,-85.657,58.4511,-4.9594,3.4233,6.0019,111.594,58.4511,
4,17.4348,-0.4395,3.8846,65.2347,-11.9714,0.12,-0.0583,111.594,65.2347,30.6742,13.4118,-47.0952,59.3712,-5.7535,7.4009,7.5237,111.594,59.3712,
5,14.4879,-0.0692,2.2249,69.6106,-16.3228,-0.4979,-2.1119,111.594,69.6106,28.6021,2.1118,-12.8915,60.4534,-6.7747,14.0472,8.3032,111.594,60.4534,
6,12.8297,0.0627,2.3906,74.5551,-21.2174,-1.4989,-3.7816,111.594,74.5551,25.1854,-1.9145,-0.4305,62.9796,-9.4527,13.6819,6.8018,111.594,62.9796,
7,11.9516,0.0555,4.1846,78.6887,-25.3862,-2.9022,-2.8212,111.594,78.6887,20.7613,-1.6951,2.4887,66.4866,-13.0643,9.1994,5.3496,111.594,66.4866,
8,12.8306,0.0194,5.4803,81.514,-28.2405,-5.1915,-1.6624,111.594,81.514,16.5806,-0.591,4.3718,68.1036,-14.7018,8.6878,5.0457,111.594,68.1036,
9,14.2979,-0.0013,6.8176,82.4096,-29.1248,-6.0943,-2.3102,111.594,82.4096,13.1878,0.041,6.0332,67.2936,-13.9468,10.5677,4.0683,111.594,67.2936,
10,15.3325,-0.0055,8.0302,81.6935,-28.3747,-5.1729,-3.4571,111.594,81.6935,10.8333,0.1675,6.7672,65.2681,-11.9922,11.1829,2.2159,111.594,65.2681,
11,17.2198,-0.0031,8.6245,81.1544,-27.7979,-4.6845,-4.4171,111.594,81.1544,9.331,0.094,7.4021,63.1359,-9.8907,11.6521,0.73,111.594,63.1359,
12,19.3044,-0.0006,8.9601,80.607,-27.2093,-4.8696,-5.2747,111.594,80.607,8.8145,0.0181,8.1594,61.2044,-7.9696,13.2348,0.2867,111.594,61.2044,
13,21.0977,0.0004,9.2328,79.2912,-25.857,-4.2609,-5.892,111.594,79.2912,9.5039,-0.0114,7.8442,59.086,-5.8566,14.3292,0.2206,111.594,59.086,
14,23.177,0.0004,9.3476,78.9446,-25.4827,-2.7639,-6.3409,111.594,78.9446,10.4363,-0.0114,7.1048,57.2736,-4.0465,14.6496,0.0821,111.594,57.2736,
15,24.8479,0.0001,9.3684,80.1913,-26.6878,-1.8902,-7.0384,111.594,80.1913,10.6842,-0.0043,6.5356,56.4668,-3.2386,14.8371,0.3777,111.594,56.4668,
16,26.5197,0,8.6901,81.2216,-27.6809,-1.3742,-7.6192,111.594,81.2216,11.3731,0,4.8577,56.1239,-2.8936,15.5877,0.87,111.594,56.1239,
17,28.9441,0,7.2711,82.0667,-28.5117,0.2027,-7.887,111.594,82.0667,13.5177,0.0011,2.2805,56.247,-3.0309,17.2037,0.429,111.594,56.247,
18,31.0234,0,6.4249,83.2278,-29.6498,1.502,-8.2855,111.594,83.2278,15.3398,0.0007,0.466,57.0994,-3.8937,18.3107,-0.4845,111.594,57.0994,
19,31.6097,0,6.3319,83.8732,-30.2834,0.8954,-8.455,111.594,83.8732,15.4301,0.0001,-0.8886,58.1922,-4.9848,18.0873,-0.0892,111.594,58.1922,
20,31.0327,0,6.8142,84.7331,-31.1512,-0.3312,-8.3689,111.594,84.7331,14.3543,0,-2.4618,59.6187,-6.4004,18.0376,0.9866,111.594,59.6187,
21,29.5447,0,8.1741,85.9662,-32.3706,-1.3808,-8.5928,111.594,85.9662,12.9792,0,-3.4922,61.363,-8.1462,18.4975,1.0711,111.594,61.363,
22,27.2757,0,9.5711,86.4901,-32.8649,-2.3993,-8.9816,111.594,86.4901,12.1283,0,-3.7078,62.9791,-9.7677,18.2799,0.6202,111.594,62.9791,
23,26.3398,0,9.679,86.3448,-32.7151,-2.6418,-9.0254,111.594,86.3448,10.9698,0,-3.2687,63.7193,-10.5073,17.5592,0.2258,111.594,63.7193,
24,26.2845,0,8.8549,85.8529,-32.2641,-2.5901,-8.4806,111.594,85.8529,9.2293,0,-2.774,63.6991,-10.482,16.7802,0.3064,111.594,63.6991,
25,24.2865,0,8.7505,85.5461,-32.001,-3.3911,-7.8671,111.594,85.5461,8.5869,0,-3.155,64.2559,-11.0218,16.2568,1.3549,111.594,64.2559,
26,21.8825,0,9.4391,85.4389,-31.8968,-4.0589,-7.8161,111.594,85.4389,8.6749,0,-3.6614,65.0964,-11.8434,16.1586,2.1339,111.594,65.0964,
27,20.7483,0,9.8894,85.3611,-31.8322,-4.5586,-7.6237,111.594,85.3611,8.4352,0,-3.8136,65.907,-12.632,15.3992,2.7315,111.594,65.907,
28,20.5126,0,9.9399,85.3964,-31.9252,-5.9911,-6.7579,111.594,85.3964,8.4043,0,-4.3392,67.03,-13.6806,13.7446,4.3162,111.594,67.03,
29,21.2971,0,9.9262,85.0783,-31.6516,-7.192,-6.0099,111.594,85.0783,8.7141,0,-4.5275,67.4432,-13.9999,12.811,5.8403,111.594,67.4432,
30,22.0887,0,9.9687,84.6255,-31.1993,-7.1235,-5.9828,111.594,84.6255,9.1083,0,-4.3079,67.131,-13.6119,12.3524,6.8336,111.594,67.131,
31,22.1215,0,9.9869,84.3053,-30.8614,-6.6998,-6.2705,111.594,84.3053,9.95,0,-4.7084,67.0622,-13.4611,11.2178,7.7645,111.594,67.0622,
32,21.5048,0,9.9716,83.7956,-30.3472,-6.8487,-6.3297,111.594,83.7956,11.6655,0,-5.6888,67.5876,-13.8942,10.0159,8.7382,111.594,67.5876,
33,20.1339,0,9.9644,83.6119,-30.1548,-7.9448,-6.4871,111.594,83.6119,13.7022,0,-6.5745,68.8747,-15.1028,9.3178,9.5557,111.594,68.8747,
34,18.4984,0,9.9799,84.0728,-30.5778,-9.645,-7.1357,111.594,84.0728,15.0773,0,-7.0936,70.4962,-16.7393,9.0931,9.5056,111.594,70.4962,
