frame,hip_x,hip_y,hip_z,hip_parent,hip_abdomen,hip_lButtock,hip_rButtock,abdomen_x,abdomen_y,abdomen_z,abdomen_parent,abdomen_chest,chest_x,chest_y,chest_z,chest_parent,chest_lCollar,chest_neck,chest_rCollar,neck_x,neck_y,neck_z,neck_parent,neck_neck1,neck1_x,neck1_y,neck1_z,neck1_parent,neck1_head,head_x,head_y,head_z,head_parent,rCollar_x,rCollar_y,rCollar_z,rCollar_parent,rCollar_rShldr,rShldr_x,rShldr_y,rShldr_z,rShldr_parent,rShldr_rForeArm,rForeArm_x,rForeArm_y,rForeArm_z,rForeArm_parent,rForeArm_rHand,rHand_x,rHand_y,rHand_z,rHand_parent,lCollar_x,lCollar_y,lCollar_z,lCollar_parent,lCollar_lShldr,lShldr_x,lShldr_y,lShldr_z,lShldr_parent,lShldr_lForeArm,lForeArm_x,lForeArm_y,lForeArm_z,lForeArm_parent,lForeArm_lHand,lHand_x,lHand_y,lHand_z,lHand_parent,rButtock_x,rButtock_y,rButtock_z,rButtock_parent,rButtock_rThigh,rThigh_x,rThigh_y,rThigh_z,rThigh_parent,rThigh_rShin,rShin_x,rShin_y,rShin_z,rShin_parent,rShin_rFoot,rFoot_x,rFoot_y,rFoot_z,rFoot_parent,lButtock_x,lButtock_y,lButtock_z,lButtock_parent,lButtock_lThigh,lThigh_x,lThigh_y,lThigh_z,lThigh_parent,lThigh_lShin,lShin_x,lShin_y,lShin_z,lShin_parent,lShin_lFoot,lFoot_x,lFoot_y,lFoot_z,lFoot_parent,
0,0.5698,92.7853,14.2309,0,90.3341,39.5202,151.606,0,0,0,90.3341,0.360452,0,0,0,0.360452,14.0707,3.26225,14.0707,9.0823,2.2642,2.0614,3.26225,31.1041,0,0,0,31.1041,0,-13.3322,12.3149,-4.945,0,0,0,0,14.0707,96.6539,-14.1784,63.849,6.6011,96.6539,57.1057,-11.7941,46.3347,-23.1152,57.1057,54.2603,-6.0734,-3.6901,-3.2154,54.2603,0,0,0,14.0707,96.6539,8.4804,-15.2527,-55.9771,96.6539,48.6267,-18.3118,-50.5542,21.9516,48.6267,59.6538,-3.4637,3.1429,2.6816,59.6538,0,0,0,151.606,111.594,-4.5736,3.5193,5.5275,111.594,58.0317,33.2307,30.733,-101.059,58.0317,101.762,-10.3402,-6.57,-5.4351,101.762,0,0,0,39.5202,111.594,-8.4773,0.1206,0.5293,111.594,61.7423,21.6821,-1.0071,3.7022,61.7423,29.4299,-12.7056,18.8232,16.979,29.4299,
1,0.5667,92.2744,14.1526,0,90.3535,39.9031,151.404,0,0,0,90.3535,0.360994,0,0,0,0.360994,14.0707,3.26225,14.0707,9.0323,2.2517,2.05,3.26225,31.054,0,0,0,31.054,0,-13.2588,12.2471,-4.9178,0,0,0,0,14.0707,96.6539,-14.1004,63.4975,6.5648,96.6539,56.7555,-11.7292,46.0795,-22.9879,56.7555,53.9513,-6.0399,-3.6698,-3.1977,53.9513,0,0,0,14.0707,96.6539,8.4337,-15.1687,-55.6689,96.6539,48.3014,-18.211,-50.2758,21.8307,48.3014,59.3036,-3.4446,3.1256,2.6668,59.3036,0,0,0,151.404,111.594,-4.5484,3.5,5.497,111.594,58.0044,33.0477,30.5638,-100.502,58.0044,101.335,-10.2833,-6.5339,-5.4052,101.335,0,0,0,39.9031,111.594,-8.4307,0.12,0.5263,111.594,61.6957,21.5627,-1.0015,3.6819,61.6957,29.3093,-12.6356,18.7195,16.8855,29.3093,
2,0.5661,92.186,14.139,0,90.3568,39.9695,151.368,0,0,0,90.3568,0.35882,0,0,0,0.35882,14.0707,3.26213,14.0707,9.0236,2.2496,2.0481,3.26213,31.0453,0,0,0,31.0453,0,-13.2461,12.2354,-4.9131,0,0,0,0,14.0707,96.6539,-14.0869,63.4366,6.5585,96.6539,56.6948,-11.7179,46.0354,-22.9659,56.6948,53.8979,-6.0341,-3.6663,-3.1946,53.8979,0,0,0,14.0707,96.6539,8.4257,-15.1541,-55.6156,96.6539,48.2451,-18.1936,-50.2277,21.8098,48.2451,59.2431,-3.4413,3.1226,2.6643,59.2431,0,0,0,151.368,111.594,-4.544,3.4966,5.4918,111.594,57.9997,33.0161,30.5345,-100.406,57.9997,101.261,-10.2734,-6.5276,-5.4,101.261,0,0,0,39.9695,111.594,-8.4226,0.1198,0.5258,111.594,61.6876,21.5421,-1.0006,3.6783,61.6876,29.2885,-12.6235,18.7016,16.8693,29.2885,
3,2.0911,90.7205,14.1481,0,91.0272,41.065,151.569,0,0,0,91.0272,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,8.6817,1.984,1.8559,3.26219,30.7025,0,0,0,30.7025,0,-12.9766,11.0642,-4.3679,0,0,0,0,14.0707,96.6539,-9.2519,64.7308,7.2376,96.6539,57.2306,-12.1629,46.715,-23.0053,57.2306,54.6602,-6.0123,-3.6659,-3.202,54.6602,0,0,0,14.0707,96.6539,6.59,-17.4265,-53.3283,96.6539,46.004,-16.892,-49.466,20.5105,46.004,57.3771,-3.4439,3.1249,2.681,57.3771,0,0,0,151.569,111.594,-4.9594,3.4233,6.0019,111.594,58.4511,32.278,25.8152,-85.657,58.4511,89.2927,-10.2361,-5.5187,-5.413,89.2927,0,0,0,41.065,111.594,-9.2682,0.1199,0.5262,111.594,62.5332,20.5035,-0.8459,4.166,62.5332,28.2998,-12.223,15.8112,16.9456,28.2998,
4,5.944,89.6593,14.1523,0,92.754,41.5424,153.572,0,0,0,92.754,0.360452,0,0,0,0.360452,14.0707,3.26231,14.0707,8.2189,1.5874,1.504,3.26231,30.2359,0,0,0,30.2359,0,-12.3975,9.1549,-3.3687,0,0,0,0,14.0707,96.6539,-1.4056,66.7706,8.3321,96.6539,58.4558,-12.8734,47.7747,-23.0486,58.4558,55.8505,-5.9592,-3.6571,-3.2103,55.8505,0,0,0,14.0707,96.6539,3.6095,-25.538,-45.1292,96.6539,39.9745,-12.9713,-48.809,16.5906,39.9745,53.4587,-3.4462,3.1271,2.6899,53.4587,0,0,0,153.572,111.594,-5.7535,7.4009,7.5237,111.594,59.3712,30.6742,13.4118,-47.0952,59.3712,58.498,-10.1256,-2.8671,-5.4293,58.498,0,0,0,41.5424,111.594,-11.9714,0.12,-0.0583,111.594,65.2347,17.4348,-0.4395,3.8846,65.2347,25.214,-11.1578,8.2144,17.054,25.214,
5,9.1343,91.9977,13.3129,0,93.9356,38.906,156.76,0,0,0,93.9356,0.359365,0,0,0,0.359365,14.0707,3.26213,14.0707,8.2287,1.5905,1.3234,3.26213,30.2404,0,0,0,30.2404,0,-12.085,8.9787,-2.7922,0,0,0,0,14.0707,96.6539,-1.0388,66.8384,8.3798,96.6539,58.4984,-12.9013,47.8045,-23.0412,58.4984,55.8824,-5.9304,-3.6445,-3.2096,55.8824,0,0,0,14.0707,96.6539,1.3665,-35.0784,-35.1735,96.6539,36.8022,-9.6024,-50.0063,13.2205,36.8022,52.1026,-4.4482,3.1279,2.6737,52.1026,0,0,0,156.76,111.594,-6.7747,14.0472,8.3032,111.594,60.4534,28.6021,2.1118,-12.8915,60.4534,37.9563,-10.0211,-0.4515,-5.4278,37.9563,0,0,0,38.906,111.594,-16.3228,-0.4979,-2.1119,111.594,69.6106,14.4879,-0.0692,2.2249,69.6106,22.134,-10.1837,1.2934,17.0521,22.134,
6,10.9204,92.019,11.0576,0,94.8013,38.0496,158.306,0,0,0,94.8013,0.360452,0,0,0,0.360452,14.0707,3.26219,14.0707,7.7927,1.3275,0.9374,3.26219,29.8001,0,0,0,29.8001,0,-12.0226,8.2427,-1.12,0,0,0,0,14.0707,96.6539,4.9549,64.6104,9.9744,96.6539,56.1336,-14.8887,49.6104,-24.7139,56.1336,59.1159,-5.9289,-3.6442,-3.2108,59.1159,0,0,0,14.0707,96.6539,-3.4042,-35.0956,-32.4211,96.6539,33.3959,-10.7583,-50.6629,14.1462,33.3959,53.4068,-6.9543,3.1278,2.6825,53.4068,0,0,0,158.306,111.594,-9.4527,13.6819,6.8018,111.594,62.9796,25.1854,-1.9145,-0.4305,62.9796,32.7697,-9.9829,0.4093,-5.4245,32.7697,0,0,0,38.0496,111.594,-21.2174,-1.4989,-3.7816,111.594,74.5551,12.8297,0.0627,2.3906,74.5551,20.4868,-9.8356,-1.1726,17.0285,20.4868,
7,14.1152,87.5892,9.6693,0,96.1823,40.6881,158.873,0,0,0,96.1823,0.359909,0,0,0,0.359909,14.0707,3.26213,14.0707,6.58,0.3079,-0.0405,3.26213,28.5877,0,0,0,28.5877,0,-11.7891,4.6301,2.676,0,0,0,0,14.0707,96.6539,31.5903,61.6671,15.6411,96.6539,57.2922,-22.0388,57.1899,-28.7185,57.2922,70.8433,-5.9338,-3.6688,-3.227,70.8433,0,0,0,14.0707,96.6539,-7.5067,-27.3868,-35.6152,96.6539,28.9643,-14.0044,-50.7837,17.0207,28.9643,55.7819,-9.4866,3.1276,2.7854,55.7819,0,0,0,158.873,111.594,-13.0643,9.1994,5.3496,111.594,66.4866,20.7613,-1.6951,2.4887,66.4866,28.5679,-9.9714,0.3624,-5.4308,28.5679,0,0,0,40.6881,111.594,-25.3862,-2.9022,-2.8212,111.594,78.6887,11.9516,0.0555,4.1846,78.6887,19.8147,-9.7313,-1.0382,17.0667,19.8147,
8,18.0784,84.532,10.4763,0,97.0623,42.5852,158.908,0,0,0,97.0623,0.360452,0,0,0,0.360452,14.0707,3.26225,14.0707,5.8584,-0.5606,-1.3996,3.26225,27.8912,0,0,0,27.8912,0,-11.3349,2.0578,6.7132,0,0,0,0,14.0707,96.6539,61.4637,54.063,27.4887,96.6539,65.8651,-29.7924,68.3454,-32.46,65.8651,86.1383,-6.1893,-3.7293,-3.2556,86.1383,0,0,0,14.0707,96.6539,-6.1648,-24.1866,-36.8072,96.6539,28.8796,-16.3367,-53.9352,19.3358,28.8796,60.5506,-11.4414,3.1275,3.0286,60.5506,0,0,0,158.908,111.594,-14.7018,8.6878,5.0457,111.594,68.1036,16.5806,-0.591,4.3718,68.1036,24.7561,-9.9519,0.1264,-5.4317,24.7561,0,0,0,42.5852,111.594,-28.2405,-5.1915,-1.6624,111.594,81.514,12.8306,0.0194,5.4803,81.514,20.9138,-9.5483,-0.362,17.076,20.9138,
9,19.4868,83.4455,11.1653,0,96.7449,42.7817,158.308,0,0,0,96.7449,0.359365,0,0,0,0.359365,14.0707,3.26225,14.0707,5.9105,-0.7288,-2.4167,3.26225,27.9993,0,0,0,27.9993,0,-10.8497,3.3493,9.4898,0,0,0,0,14.0707,96.6539,77.8073,44.3182,38.7827,96.6539,70.8816,-33.0725,76.3409,-35.0723,70.8816,96.1121,-6.7008,-3.8059,-3.286,96.1121,0,0,0,14.0707,96.6539,-5.0834,-24.7678,-35.2955,96.6539,28.3531,-18.7538,-56.7284,21.6115,28.3531,65.0985,-12.4419,3.1275,3.3226,65.0985,0,0,0,158.308,111.594,-13.9468,10.5677,4.0683,111.594,67.2936,13.1878,0.041,6.0332,67.2936,21.907,-9.9408,-0.0088,-5.4287,21.907,0,0,0,42.7817,111.594,-29.1248,-6.0943,-2.3102,111.594,82.4096,14.2979,-0.0013,6.8176,82.4096,22.6403,-9.4451,0.0251,17.0567,22.6403,
